chr	region_start	region_end	phenotype_id
chr12	11475082	13474180	ENSG00000111266.8_2
chr12	110688804	112684232	ENSG00000111271.14_11
chr12	5347810	7346730	ENSG00000111319.12_14
chr12	5375995	7374528	ENSG00000111321.10_8
chr12	121974926	123973455	ENSG00000111325.16_6
chr12	13942280	15941227	ENSG00000111348.8_7
chr12	115710614	117709094	ENSG00000111412.5_2
chr12	117015117	119013557	ENSG00000111445.13_3
chr12	129789699	131788771	ENSG00000111450.13_5
chr12	53305090	55300650	ENSG00000111481.9_5
chr12	69244067	71242850	ENSG00000111596.11_9
chr12	5492763	7491001	ENSG00000111639.7_1
chr12	5570283	7570012	ENSG00000111642.14_38
chr12	5723797	7723612	ENSG00000111652.9_6
chr12	5650443	7649790	ENSG00000111653.19_4
chr12	100697787	102696037	ENSG00000111666.10_5
chr12	100746705	102741234	ENSG00000111670.14_21
chr12	5924756	7923838	ENSG00000111676.14_11
chr12	20504031	22501378	ENSG00000111711.9_5
chr12	118667765	120667752	ENSG00000111725.10_4
chr12	119095332	121094978	ENSG00000111737.11_7
chr12	7914206	9912444	ENSG00000111752.10_7
chr12	119462980	121461233	ENSG00000111786.8_3
chr12	25939251	27937938	ENSG00000111790.13_6
chr6	25440862	27440402	ENSG00000111801.15_8
chr6	115254468	117253465	ENSG00000111817.16_11
chr6	115572198	117570663	ENSG00000111832.12_3
chr6	9722966	11722842	ENSG00000111843.13_2
chr6	10184457	12182817	ENSG00000111859.16_14
chr6	121445140	123443095	ENSG00000111897.6_7
chr6	124220741	126195448	ENSG00000111906.17_3
chr6	124119598	126117351	ENSG00000111907.20_11
chr6	23804302	25803676	ENSG00000111913.17_16
chr6	151987997	153987351	ENSG00000112031.15_6
chr6	35029411	37027446	ENSG00000112062.10_15
chr6	158669176	160668275	ENSG00000112096.16_6
chr6	158789824	160789766	ENSG00000112110.9_4
chr6	51264155	53263820	ENSG00000112118.18_17
chr6	36355198	38353753	ENSG00000112130.16_10
chr6	36631233	38628105	ENSG00000112139.14_5
chr6	52052752	54048500	ENSG00000112146.16_11
chr6	38105130	40103630	ENSG00000112167.9_3
chr6	16393383	18393040	ENSG00000112186.11_6
chr6	95563297	97561753	ENSG00000112214.10_6
chr6	97868571	99868065	ENSG00000112234.8_2
chr6	109106981	111098387	ENSG00000112290.12_4
chr6	131743918	133743408	ENSG00000112303.13_6
chr6	69667801	71667230	ENSG00000112305.14_6
chr6	131814885	133814188	ENSG00000112306.7_3
chr6	107211310	109211093	ENSG00000112335.14_4
chr6	133960904	135960141	ENSG00000112339.14_19
chr6	135823004	137821617	ENSG00000112357.12_9
chr6	137088906	139087878	ENSG00000112378.11_3
chr6	144383184	146380795	ENSG00000112425.14_13
chr6	32200994	34199733	ENSG00000112473.17_4
chr6	166111865	168111067	ENSG00000112486.15_2
chr6	166271867	168271071	ENSG00000112494.9_7
chr6	32411010	34409849	ENSG00000112511.17_15
chr6	32416566	34416011	ENSG00000112514.15_4
chr6	162414133	164413966	ENSG00000112531.16_8
chr6	40684516	42683906	ENSG00000112561.17_6
chr6	40935333	42934770	ENSG00000112576.12_7
chr6	40921261	42920048	ENSG00000112578.9_3
chr6	169296169	170738981	ENSG00000112584.13_10
chr6	169554956	170610647	ENSG00000112592.13_7
chr6	42054154	44053549	ENSG00000112651.11_7
chr6	42182275	44180831	ENSG00000112659.13_8
chr6	74237703	76237334	ENSG00000112695.11_5
chr6	74253548	76252924	ENSG00000112697.15_4
chr6	624156	2623696	ENSG00000112699.10_15
chr6	74602576	76600088	ENSG00000112701.17_4
chr6	42771011	44769730	ENSG00000112715.21_9
chr6	43219788	45218436	ENSG00000112759.16_3
chr6	25457989	27457570	ENSG00000112763.15_5
chr6	111109079	113108504	ENSG00000112769.18_32
chr6	44880947	46879764	ENSG00000112782.15_15
chr12	131489690	133262939	ENSG00000112787.12_21
chr5	64927135	66925434	ENSG00000112851.14_24
chr5	39909652	41909013	ENSG00000112936.18_20
chr5	9679785	11677061	ENSG00000112977.15_4
chr5	137141519	139139712	ENSG00000112983.17_14
chr5	42603816	44602071	ENSG00000112992.16_12
chr5	137553933	139553566	ENSG00000113013.12_13
chr5	139248422	141244565	ENSG00000113068.9_2
chr5	74336432	76335384	ENSG00000113161.15_16
chr5	140100753	142100305	ENSG00000113205.5_1
chr5	178911732	180911368	ENSG00000113269.13_4
chr5	78994392	80990551	ENSG00000113296.14_20
chr5	30401054	32400161	ENSG00000113360.16_9
chr5	90369153	92366395	ENSG00000113369.8_5
chr5	31532067	33531540	ENSG00000113387.11_8
chr5	32443506	34440290	ENSG00000113407.13_22
chr5	33905847	35905109	ENSG00000113456.18_7
chr5	133151345	135148891	ENSG00000113558.18_3
chr5	36299607	38286946	ENSG00000113569.15_34
chr5	64563255	66563087	ENSG00000113593.11_8
chr5	64624978	66624245	ENSG00000113597.17_8
chr5	167489023	169486315	ENSG00000113643.8_9
chr5	149001515	150999782	ENSG00000113716.12_12
chr5	171834410	173833642	ENSG00000113719.15_12
chr5	149115005	151113577	ENSG00000113721.13_2
chr5	171984001	173983437	ENSG00000113732.8_3
chr5	172144750	174144289	ENSG00000113734.17_3
chr5	172888869	174887794	ENSG00000113742.12_6
chr5	176464098	178456241	ENSG00000113758.13_12
chr3	118498540	120498127	ENSG00000113845.9_2
chr3	2144867	4144269	ENSG00000113851.14_2
chr3	186721384	188720538	ENSG00000113916.17_7
chr3	131680842	133680368	ENSG00000113971.19_28
chr3	133355943	135353945	ENSG00000114019.14_15
chr3	121384655	123384077	ENSG00000114023.15_2
chr3	8750158	10749340	ENSG00000114026.21_5
chr3	135250564	137248720	ENSG00000114054.13_19
chr3	137494788	139494058	ENSG00000114107.8_6
chr3	140738300	142735572	ENSG00000114125.13_2
chr3	166685366	168678553	ENSG00000114209.14_3
chr3	48278068	50271287	ENSG00000114316.12_20
chr3	99710154	101707988	ENSG00000114354.13_3
chr3	49301032	51299208	ENSG00000114378.16_5
chr3	100681784	102681012	ENSG00000114391.12_5
chr3	179868626	181867115	ENSG00000114416.17_21
chr3	107160855	109160681	ENSG00000114446.4_2
chr3	123733991	125729991	ENSG00000114491.13_2
chr3	195935823	197934762	ENSG00000114503.10_2
chr3	125006815	127006332	ENSG00000114544.16_11
chr3	126673055	128672783	ENSG00000114626.17_2
chr3	46283646	48282400	ENSG00000114648.11_1
chr3	130462743	132459446	ENSG00000114686.8_2
chr3	145192597	147192307	ENSG00000114698.14_3
chr3	49572361	51564238	ENSG00000114735.9_4
chr3	49611638	51607963	ENSG00000114738.10_11
chr3	148738672	150737968	ENSG00000114744.8_5
chr3	38097030	40096160	ENSG00000114745.13_6
chr3	182920052	184919472	ENSG00000114770.16_29
chr3	182636031	184635559	ENSG00000114796.15_5
chr3	51317140	53315479	ENSG00000114841.17_75
chr3	183314824	185314006	ENSG00000114867.20_3
chr2	205159629	207159244	ENSG00000114942.13_3
chr2	72927484	74926423	ENSG00000114956.19_4
chr2	73426010	75425695	ENSG00000114993.16_2
chr2	94662898	96402562	ENSG00000115042.9_6
chr2	230453574	232453514	ENSG00000115053.15_2
chr2	96657221	98655863	ENSG00000115073.7_6
chr2	112705412	114701371	ENSG00000115084.13_17
chr2	23072253	25065806	ENSG00000115128.6_2
chr2	23077760	25071475	ENSG00000115129.13_6
chr2	26309623	28309442	ENSG00000115204.14_11
chr2	26428708	28427639	ENSG00000115216.13_10
chr2	26492641	28491883	ENSG00000115226.9_6
chr2	52558318	54532654	ENSG00000115239.21_6
chr2	181140599	183139844	ENSG00000115252.18_19
chr19	490943	2489534	ENSG00000115255.10_5
chr19	438868	2438121	ENSG00000115268.9_2
chr2	73461216	75460308	ENSG00000115275.11_2
chr19	384517	2383215	ENSG00000115286.19_4
chr2	28098189	30097602	ENSG00000115295.19_17
chr2	53973793	55971927	ENSG00000115310.17_12
chr2	73959283	75958282	ENSG00000115350.11_4
chr2	74470649	76469216	ENSG00000115363.13_4
chr2	54866016	56864574	ENSG00000115380.19_6
chr2	57159285	59157719	ENSG00000115392.11_4
chr2	214360552	216359814	ENSG00000115414.18_34
chr2	189967241	191962799	ENSG00000115415.18_15
chr2	189881381	191880529	ENSG00000115419.12_8
chr2	97608974	99607671	ENSG00000115446.11_3
chr2	84354476	86352562	ENSG00000115459.17_10
chr2	60868110	62864291	ENSG00000115484.14_2
chr2	84544928	86541047	ENSG00000115486.11_2
chr2	84686866	86682915	ENSG00000115523.16_7
chr2	196389956	198389625	ENSG00000115524.15_7
chr2	84837142	86836946	ENSG00000115525.17_19
chr2	196517663	198513270	ENSG00000115540.14_4
chr2	196500221	198499892	ENSG00000115541.10_3
chr2	217608475	219601477	ENSG00000115556.13_11
chr2	85503494	87500481	ENSG00000115561.15_5
chr2	100991920	102986047	ENSG00000115590.13_6
chr2	101066717	103064456	ENSG00000115594.11_9
chr2	101418730	103417575	ENSG00000115607.9_8
chr2	104359167	106354061	ENSG00000115641.18_3
chr2	236488292	238479286	ENSG00000115648.13_14
chr2	240227288	242146741	ENSG00000115677.16_5
chr2	240492776	242099260	ENSG00000115694.14_14
chr2	374221	2373419	ENSG00000115705.20_17
chr2	8844630	10843301	ENSG00000115750.16_5
chr2	9302905	11302457	ENSG00000115756.12_10
chr2	31357618	33355657	ENSG00000115760.13_73
chr2	169928974	171927424	ENSG00000115806.12_8
chr2	134906986	136906352	ENSG00000115866.10_9
chr2	141877562	143877102	ENSG00000115919.14_18
chr2	173561424	175557510	ENSG00000115935.17_14
chr2	41333586	43332933	ENSG00000115944.14_10
chr2	146930821	148927763	ENSG00000115947.13_3
chr2	149468902	151467206	ENSG00000115963.13_5
chr2	68459391	70457319	ENSG00000115977.18_21
chr2	69149937	71149869	ENSG00000115998.7_9
chr2	69209789	71209139	ENSG00000116001.15_14
chr2	45293864	47293524	ENSG00000116016.13_6
chr2	201209375	203205764	ENSG00000116030.16_5
chr2	176228034	178227468	ENSG00000116044.15_5
chr1	169662939	171662500	ENSG00000116132.11_6
chr1	219528522	221528089	ENSG00000116141.15_18
chr1	1322213	3320645	ENSG00000116151.13_7
chr1	53026694	55024951	ENSG00000116209.11_4
chr1	53184422	55183990	ENSG00000116221.15_10
chr1	5185273	7184959	ENSG00000116251.9_6
chr1	179155276	181154428	ENSG00000116260.16_7
chr1	6954384	8953911	ENSG00000116288.12_6
chr1	108113781	110113389	ENSG00000116299.16_21
chr1	108618424	110615908	ENSG00000116337.15_20
chr1	28149490	30147633	ENSG00000116350.16_4
chr1	28192893	30192785	ENSG00000116353.15_4
chr1	110542342	112541524	ENSG00000116473.14_3
chr1	154259467	156255160	ENSG00000116521.10_6
chr1	227735217	229731720	ENSG00000116574.5_2
chr1	155464151	157463299	ENSG00000116604.17_6
chr1	184297043	186295589	ENSG00000116679.15_4
chr1	10980328	12950120	ENSG00000116688.16_3
chr1	182557704	184554227	ENSG00000116701.14_6
chr1	67098495	69097732	ENSG00000116729.13_20
chr1	113673827	115672978	ENSG00000116748.21_7
chr1	113568414	115567328	ENSG00000116752.5_3
chr1	195775213	197774376	ENSG00000116785.13_1
chr1	14685080	16677691	ENSG00000116786.11_7
chr1	73706103	75704090	ENSG00000116791.13_4
chr1	112696856	114696734	ENSG00000116793.15_18
chr1	35422546	37415790	ENSG00000116885.18_8
chr1	35460549	37455481	ENSG00000116898.11_3
chr1	234976407	236975282	ENSG00000116962.14_12
chr1	235518009	237516520	ENSG00000116977.18_11
chr1	38679121	40678584	ENSG00000116983.12_2
chr1	242489054	244487133	ENSG00000117020.16_19
chr1	74724768	76724325	ENSG00000117054.13_2
chr1	159680344	161677743	ENSG00000117091.9_2
chr1	80306251	82304234	ENSG00000117114.19_35
chr1	16066862	18066258	ENSG00000117115.12_6
chr1	16018760	18018721	ENSG00000117118.9_3
chr1	15975560	17973759	ENSG00000117122.13_6
chr1	161561548	163559713	ENSG00000117143.13_10
chr1	83550251	85549298	ENSG00000117151.12_7
chr1	17108051	19107459	ENSG00000117154.11_1
chr1	88010489	89995789	ENSG00000117226.11_9
chr1	88052487	90051707	ENSG00000117228.9_3
chr1	19665573	21663486	ENSG00000117245.12_18
chr1	204506706	206504432	ENSG00000117266.15_12
chr1	20217251	22216999	ENSG00000117298.14_14
chr1	22802742	24799586	ENSG00000117305.14_3
chr1	206457375	208452730	ENSG00000117322.17_13
chr1	206753120	208751785	ENSG00000117335.19_9
chr1	149760073	151263450	ENSG00000117362.12_3
chr1	41746337	43746026	ENSG00000117385.15_6
chr1	42946984	44946217	ENSG00000117408.10_16
chr1	42974530	44974423	ENSG00000117410.13_3
chr1	44551262	46550274	ENSG00000117448.13_6
chr1	45175782	47173848	ENSG00000117472.9_5
chr1	45397347	47394014	ENSG00000117480.15_12
chr1	45340760	47338067	ENSG00000117481.10_4
chr1	92155434	94148469	ENSG00000117500.12_2
chr1	170485906	172485440	ENSG00000117523.15_34
chr1	93531137	95529122	ENSG00000117525.13_2
chr1	93418590	95418405	ENSG00000117528.11_11
chr1	99990456	101989567	ENSG00000117543.20_10
chr1	172478022	174475414	ENSG00000117592.8_5
chr1	208785739	210784951	ENSG00000117595.10_2
chr1	24242314	26242207	ENSG00000117616.17_9
chr1	98969623	100968330	ENSG00000117620.14_6
chr1	210258416	212258089	ENSG00000117625.13_13
chr1	24884324	26882948	ENSG00000117632.22_8
chr1	24819995	26817084	ENSG00000117640.17_2
chr1	25531592	27524003	ENSG00000117676.13_26
chr1	25434429	27432254	ENSG00000117682.16_8
chr1	211435104	213432179	ENSG00000117691.9_3
chr1	211726925	213725400	ENSG00000117697.14_5
chr1	25693492	27692503	ENSG00000117713.18_19
chr1	219748408	221748035	ENSG00000117791.15_8
chr7	157734290	159334896	ENSG00000117868.15_9
chr11	754157	2752241	ENSG00000117984.13_12
chr2	2595038	4594237	ENSG00000118004.17_7
chr11	117544670	119544204	ENSG00000118096.7_6
chr19	46475312	48475068	ENSG00000118162.13_3
chr11	118015738	120015286	ENSG00000118181.10_2
chr1	200359479	202356947	ENSG00000118194.18_10
chr2	204683694	206681985	ENSG00000118257.16_4
chr1	149636244	151268066	ENSG00000118292.8_7
chr12	24004643	26004189	ENSG00000118308.15_19
chr11	73949501	75946701	ENSG00000118363.11_2
chr6	78201382	80200854	ENSG00000118418.14_2
chr1	69260933	71258170	ENSG00000118454.12_13
chr6	142942004	144938793	ENSG00000118495.18_7
chr6	126266822	128266144	ENSG00000118518.15_4
chr4	14605356	16603995	ENSG00000118564.14_15
chr12	62780323	64773037	ENSG00000118600.11_3
chr2	84563603	86561390	ENSG00000118640.10_3
chr1	112905844	114905128	ENSG00000118655.4_2
chr18	2263071	4260079	ENSG00000118680.12_2
chr20	36178823	38177913	ENSG00000118705.16_6
chr4	87008040	89007574	ENSG00000118762.7_6
chr4	76047548	78046710	ENSG00000118816.9_7
chr3	157733043	159730436	ENSG00000118855.18_5
chr16	3884434	5881346	ENSG00000118898.15_18
chr16	3862313	5846302	ENSG00000118900.14_13
chr13	74549764	76549398	ENSG00000118939.17_2
chr2	19560747	21555821	ENSG00000118960.12_3
chr5	94885549	96884383	ENSG00000118985.15_4
chr2	202240521	204237352	ENSG00000119004.15_3
chr5	133371998	135369904	ENSG00000119048.7_7
chr9	68339355	70119940	ENSG00000119139.17_25
chr2	8403636	10403192	ENSG00000119185.12_6
chr3	195867934	197867817	ENSG00000119231.10_10
chr12	122919163	124916761	ENSG00000119242.8_4
chr9	107943158	109942273	ENSG00000119326.14_2
chr9	107934193	109932756	ENSG00000119328.11_5
chr9	128111149	130109655	ENSG00000119383.19_17
chr9	120178748	122177642	ENSG00000119396.10_6
chr9	112349696	114349312	ENSG00000119411.10_5
chr9	124149412	126146189	ENSG00000119414.11_3
chr9	121144526	123142409	ENSG00000119421.6_2
chr9	111380593	113379855	ENSG00000119471.14_4
chr9	124437533	126435300	ENSG00000119487.16_7
chr9	99099349	101099138	ENSG00000119509.12_8
chr9	122380202	124379448	ENSG00000119522.16_5
chr1	35473671	37465316	ENSG00000119535.17_4
chr14	74081545	76078917	ENSG00000119638.12_20
chr14	74902682	76902121	ENSG00000119650.12_5
chr14	72568093	74567471	ENSG00000119673.14_3
chr14	74014099	76013237	ENSG00000119684.15_6
chr14	74633782	76633375	ENSG00000119685.19_42
chr14	73286239	75285379	ENSG00000119688.20_4
chr14	73882116	75880923	ENSG00000119689.14_2
chr14	74959547	76957933	ENSG00000119699.7_9
chr14	76708734	78708024	ENSG00000119705.9_2
chr14	72059270	74057826	ENSG00000119707.13_2
chr14	72951036	74949297	ENSG00000119723.16_5
chr14	72886623	74886597	ENSG00000119725.18_13
chr2	45542031	47541647	ENSG00000119729.11_5
chr2	67285330	69282485	ENSG00000119865.8_3
chr10	88328620	90327645	ENSG00000119917.13_2
chr10	97383742	99381587	ENSG00000119943.12_16
chr10	109207771	111207138	ENSG00000119950.20_7
chr10	94663648	96663139	ENSG00000119977.20_13
chr10	118105828	120103958	ENSG00000119979.16_3
chr10	119851591	121850918	ENSG00000120008.15_3
chr10	100846576	102845571	ENSG00000120029.12_22
chr10	100830996	102825368	ENSG00000120049.18_8
chr17	45030221	47029169	ENSG00000120071.13_10
chr17	44786597	46783637	ENSG00000120088.14_3
chr9	3793304	5792156	ENSG00000120158.11_6
chr6	149866576	151862885	ENSG00000120254.15_12
chr6	148752877	150748443	ENSG00000120265.16_6
chr5	139174794	141174338	ENSG00000120306.9_2
chr5	140655259	142652915	ENSG00000120318.15_3
chr1	169532331	171531015	ENSG00000120370.12_3
chr6	158760853	160760260	ENSG00000120437.8_4
chr11	129876812	131874473	ENSG00000120451.10_13
chr10	26155357	28154306	ENSG00000120539.14_11
chr10	22695946	24694146	ENSG00000120549.17_28
chr10	31267807	33267685	ENSG00000120616.15_15
chr13	40217196	42216322	ENSG00000120662.15_10
chr13	40066349	42061192	ENSG00000120688.8_6
chr13	35950071	37949166	ENSG00000120697.8_4
chr5	135029306	137028891	ENSG00000120708.16_7
chr5	137946899	139946562	ENSG00000120725.12_12
chr5	136867977	138867345	ENSG00000120729.9_2
chr12	94021306	96020206	ENSG00000120798.16_16
chr12	102989122	104987967	ENSG00000120820.12_5
chr12	105977742	107975664	ENSG00000120832.9_2
chr12	103127106	105116718	ENSG00000120837.7_2
chr12	101013318	103000762	ENSG00000120860.10_5
chr12	97645493	99645057	ENSG00000120868.13_18
chr8	26597906	28595839	ENSG00000120885.21_10
chr8	22020431	24018840	ENSG00000120889.12_3
chr8	21545147	23544969	ENSG00000120896.13_14
chr8	26311595	28311442	ENSG00000120899.17_36
chr8	21441024	23437513	ENSG00000120910.14_15
chr8	21578695	23578275	ENSG00000120913.23_14
chr8	26490801	28489991	ENSG00000120915.13_15
chr8	100180296	102177869	ENSG00000120963.11_3
chr17	55978834	57976599	ENSG00000121064.12_13
chr17	48599098	50598424	ENSG00000121067.17_9
chr17	48702789	50696314	ENSG00000121073.13_3
chr4	152349812	154341019	ENSG00000121211.7_10
chr16	49247114	51245913	ENSG00000121281.12_22
chr19	31878085	33875488	ENSG00000121289.17_2
chr1	51898040	53895760	ENSG00000121310.16_14
chr12	20437761	22436643	ENSG00000121350.15_10
chr19	57084129	58600158	ENSG00000121413.12_4
chr19	56630551	58600158	ENSG00000121417.13_6
chr3	121327621	123324064	ENSG00000121552.3_1
chr3	118636568	120634368	ENSG00000121577.13_6
chr11	44847616	46843154	ENSG00000121671.11_14
chr11	33439662	35438409	ENSG00000121691.4_9
chr7	99352727	101352142	ENSG00000121716.20_3
chr1	30727347	32724232	ENSG00000121753.12_36
chr1	30299825	32291652	ENSG00000121766.15_3
chr1	30367321	32338181	ENSG00000121769.7_7
chr1	31014162	33009825	ENSG00000121774.17_3
chr3	171505620	173505431	ENSG00000121858.10_4
chr3	178323953	180320726	ENSG00000121864.9_9
chr4	37969229	39964190	ENSG00000121895.7_3
chr10	122706358	124705374	ENSG00000121898.12_6
chr1	107875677	109874428	ENSG00000121957.12_13
chr13	26252395	28250618	ENSG00000122026.10_3
chr13	26436992	28435076	ENSG00000122033.14_3
chr13	26425347	28423749	ENSG00000122034.14_4
chr3	196737487	198176065	ENSG00000122068.12_7
chr2	240072337	242072106	ENSG00000122085.16_7
chr1	202341476	204340510	ENSG00000122176.10_1
chr6	159702341	161701007	ENSG00000122194.18_9
chr5	175346095	177340816	ENSG00000122203.14_4
chr1	159796139	161795003	ENSG00000122224.17_12
chr16	10751424	12749748	ENSG00000122299.11_15
chr10	79154025	81149546	ENSG00000122359.17_4
chr10	85669604	87668063	ENSG00000122367.19_5
chr10	86098065	88093685	ENSG00000122376.11_8
chr10	79408286	81407607	ENSG00000122378.13_3
chr16	2444019	4442717	ENSG00000122390.17_14
chr1	91832330	93831936	ENSG00000122406.12_2
chr1	85346977	87346719	ENSG00000122417.15_17
chr1	77304185	79303797	ENSG00000122420.9_6
chr1	94235090	96233666	ENSG00000122481.16_2
chr1	92180464	94177975	ENSG00000122483.17_25
chr1	91302417	93298416	ENSG00000122484.8_8
chr18	78902443	80259190	ENSG00000122490.18_16
chr7	32130505	34128416	ENSG00000122507.20_17
chr7	43749312	45747946	ENSG00000122515.14_11
chr7	34802013	36799956	ENSG00000122545.18_5
chr7	31957416	33957336	ENSG00000122642.10_2
chr7	32014547	34009626	ENSG00000122643.18_4
chr7	4898845	6898369	ENSG00000122674.11_9
chr7	1234946	3232894	ENSG00000122687.17_5
chr9	36879635	38805322	ENSG00000122696.13_3
chr9	35039239	37036419	ENSG00000122707.11_11
chr7	137460343	139460147	ENSG00000122779.17_20
chr7	133744305	135744045	ENSG00000122786.19_3
chr10	68088541	70087966	ENSG00000122862.4_2
chr10	57270406	59268717	ENSG00000122873.11_5
chr10	72008101	74006721	ENSG00000122884.12_10
chr8	85343669	87342353	ENSG00000123124.13_2
chr19	13433064	15430280	ENSG00000123143.12_21
chr19	13380859	15379674	ENSG00000123146.19_7
chr19	13477807	15477629	ENSG00000123159.15_2
chr13	48913425	50912067	ENSG00000123178.14_3
chr13	48660727	50659771	ENSG00000123179.13_3
chr13	44956745	46954410	ENSG00000123200.16_10
chr10	12099558	14098703	ENSG00000123240.16_5
chr10	6559891	8559111	ENSG00000123243.14_11
chr12	56783343	58777428	ENSG00000123297.17_3
chr12	56473178	58471348	ENSG00000123329.17_12
chr12	54835869	56834533	ENSG00000123342.15_5
chr12	54818171	56816798	ENSG00000123353.9_3
chr12	51023478	53022467	ENSG00000123358.19_8
chr12	51069914	53069214	ENSG00000123395.14_4
chr12	53121643	55121250	ENSG00000123415.15_2
chr1	45634509	47632734	ENSG00000123472.12_11
chr6	95889326	97885533	ENSG00000123545.5_3
chr2	164858005	166857111	ENSG00000123607.14_31
chr5	150437405	152436350	ENSG00000123643.12_3
chr1	211686571	213685906	ENSG00000123685.8_3
chr4	120801413	122800430	ENSG00000123737.12_8
chr19	39691955	41691199	ENSG00000123815.11_5
chr1	206347951	208088807	ENSG00000123843.12_5
chr2	221861668	223860628	ENSG00000123983.13_4
chr2	218555212	220550609	ENSG00000124006.14_11
chr20	55360070	57357551	ENSG00000124098.9_2
chr20	44835130	46833786	ENSG00000124104.18_4
chr20	47626199	49624136	ENSG00000124126.13_16
chr20	45021828	47021500	ENSG00000124140.13_1
chr20	37602042	39601437	ENSG00000124143.10_10
chr20	44328282	46325011	ENSG00000124145.6_2
chr20	44416810	46413861	ENSG00000124155.17_9
chr20	45061188	47060536	ENSG00000124160.11_2
chr20	57391848	59388647	ENSG00000124164.15_6
chr20	48047782	50046045	ENSG00000124207.16_9
chr20	48113531	50113266	ENSG00000124214.19_5
chr20	58960370	60956858	ENSG00000124215.16_17
chr20	57652458	59646090	ENSG00000124222.22_10
chr20	48219755	50218524	ENSG00000124228.14_10
chr20	49795553	51794232	ENSG00000124243.17_4
chr20	56561133	58560855	ENSG00000124253.10_3
chr20	56604125	58603603	ENSG00000124256.14_8
chr19	32390147	34385628	ENSG00000124299.13_18
chr2	72831987	74827374	ENSG00000124356.15_8
chr2	70066044	72062772	ENSG00000124357.12_4
chr2	70110392	72109526	ENSG00000124370.10_7
chr6	5144433	7143371	ENSG00000124491.15_16
chr6	33018796	35018208	ENSG00000124493.13_5
chr6	33467402	35465447	ENSG00000124507.10_3
chr6	12575085	14574094	ENSG00000124523.15_11
chr6	33757410	35757361	ENSG00000124562.9_2
chr6	1948634	3948142	ENSG00000124570.17_7
chr6	42431336	44424777	ENSG00000124574.14_17
chr6	41965721	43963248	ENSG00000124587.13_2
chr6	1988079	3986273	ENSG00000124588.19_5
chr6	40035143	42033224	ENSG00000124596.16_7
chr6	38900924	40897832	ENSG00000124615.17_11
chr6	35677308	37676277	ENSG00000124762.13_5
chr6	4998182	6997974	ENSG00000124785.8_4
chr6	7411598	9411100	ENSG00000124786.9_5
chr6	7073925	9073028	ENSG00000124802.11_4
chr2	236627810	238626712	ENSG00000124831.18_27
chr2	236576157	238574270	ENSG00000124839.12_5
chr11	61434831	63433101	ENSG00000124942.13_9
chr3	8962743	10957808	ENSG00000125037.12_1
chr4	7182257	8729604	ENSG00000125089.16_25
chr16	55666759	57666557	ENSG00000125144.13_1
chr13	98607780	100603520	ENSG00000125246.15_4
chr5	131482368	133480135	ENSG00000125347.13_4
chr4	1979502	3963420	ENSG00000125388.19_4
chr17	74236779	76235444	ENSG00000125447.16_4
chr17	74110173	76108630	ENSG00000125449.6_3
chr17	74206483	76205427	ENSG00000125450.10_15
chr17	74266521	76266192	ENSG00000125457.13_4
chr17	74130603	76129655	ENSG00000125458.6_1
chr1	154610494	156610133	ENSG00000125459.14_10
chr19	54091591	56089929	ENSG00000125503.12_1
chr19	53173608	55172856	ENSG00000125505.16_4
chr2	86748847	88747647	ENSG00000125551.18_5
chr2	111585119	113581261	ENSG00000125611.15_3
chr2	111543268	113529795	ENSG00000125630.15_7
chr2	116918203	118914970	ENSG00000125633.10_13
chr2	112157553	114156886	ENSG00000125637.15_14
chr19	5436772	7435969	ENSG00000125648.14_14
chr19	5372995	7372364	ENSG00000125652.7_3
chr19	5678122	7676446	ENSG00000125730.16_30
chr19	5730327	7729719	ENSG00000125734.15_3
chr19	5663909	7660620	ENSG00000125735.10_5
chr19	44485337	46484601	ENSG00000125744.11_6
chr19	44607002	46606860	ENSG00000125746.16_22
chr20	4544700	6541188	ENSG00000125772.12_5
chr20	311145	2309901	ENSG00000125775.14_8
chr20	2889049	4887663	ENSG00000125779.21_3
chr20	1296455	3295471	ENSG00000125780.11_11
chr20	113290	2112199	ENSG00000125818.17_4
chr20	80457	1407452	ENSG00000125826.20_4
chr20	1462725	3461557	ENSG00000125835.18_1
chr20	80457	1346587	ENSG00000125841.12_5
chr20	16613928	18613519	ENSG00000125844.15_22
chr20	9401053	11400968	ENSG00000125863.18_4
chr20	16570132	18569806	ENSG00000125868.15_2
chr20	8514398	10511631	ENSG00000125869.9_5
chr20	16969943	18968583	ENSG00000125871.13_3
chr20	2212206	4208568	ENSG00000125877.12_3
chr19	2185652	4184515	ENSG00000125912.10_14
chr14	64006270	66006058	ENSG00000125952.18_2
chr20	32993884	34992434	ENSG00000125970.11_5
chr20	33088816	35088097	ENSG00000125977.6_7
chr20	34544355	36527739	ENSG00000125991.19_5
chr20	34457057	36445333	ENSG00000126001.15_28
chr20	34202194	36187629	ENSG00000126005.16_2
chr1	44012335	46011172	ENSG00000126088.13_1
chr1	42705865	44705070	ENSG00000126091.19_8
chr14	102562366	104560263	ENSG00000126214.21_15
chr13	111485471	113484418	ENSG00000126216.13_23
chr13	111894712	113888740	ENSG00000126217.20_7
chr13	112179058	114177419	ENSG00000126226.21_9
chr19	34742122	36736718	ENSG00000126246.9_5
chr19	34629496	36627787	ENSG00000126254.11_5
chr19	33428539	35428285	ENSG00000126261.12_15
chr17	39058397	41058153	ENSG00000126351.12_4
chr11	64386999	66385361	ENSG00000126391.13_4
