Enseml.Gene.Id	Enseml.Prot.Id	UniProt.Id
ENSG00000157734.14	ENSP00000323435.4	Q96L94
ENSG00000157741.15	ENSP00000418648.2	Q6ZU65
ENSG00000157766.19	ENSP00000453581.2	P16112
ENSG00000157796.18	ENSP00000382717.3	Q8NEZ3
ENSG00000157881.16	ENSP00000367727.5	Q9NVE7
ENSG00000157985.19	ENSP00000307634.7	Q9UPQ3
ENSG00000158014.15	ENSP00000363394.3	Q9BRI3
ENSG00000158042.9	ENSP00000288937.6	Q9NRX2
ENSG00000158055.17	ENSP00000354943.5	Q8TE85
ENSG00000158079.16	ENSP00000477817.1	A2A3K4
ENSG00000158089.15	ENSP00000288988.6	Q96FL9
ENSG00000158109.15	ENSP00000367595.2	Q5T0D9
ENSG00000158113.13	ENSP00000344233.4	Q8N309
ENSG00000158125.10	ENSP00000368727.3	P47989
ENSG00000158220.14	ENSP00000374218.4	A0FGR9
ENSG00000158270.12	ENSP00000383115.3	Q5KU26
ENSG00000158428.4	ENSP00000289388.3	Q7Z7H3
ENSG00000158445.10	ENSP00000360806.3	Q14721
ENSG00000118276.12	ENSP00000306459.5	Q9UBX8
ENSG00000158473.8	ENSP00000501100.1	P15813
ENSG00000158691.15	ENSP00000507347.1	O43309
ENSG00000158714.11	ENSP00000289707.5	Q9P0V8
ENSG00000158816.16	ENSP00000289815.9	Q5TIE3
ENSG00000158865.13	ENSP00000416782.3	Q8WWX8
ENSG00000158887.19	ENSP00000432943.1	P25189
ENSG00000158966.16	ENSP00000498498.1	Q5VU97
ENSG00000159086.15	ENSP00000328992.4	Q9Y5B6
ENSG00000159164.10	ENSP00000358142.3	Q7L0J3
ENSG00000159212.13	ENSP00000290332.4	Q96NY7
ENSG00000159263.16	ENSP00000290399.6	Q14190
ENSG00000175356.14	ENSP00000497523.1	Q9NQ36
ENSG00000159337.7	ENSP00000290472.3	Q86XP0
ENSG00000159348.13	ENSP00000356218.4	Q9UHQ9
ENSG00000159387.8	ENSP00000290552.8	P78412
ENSG00000159399.10	ENSP00000290573.2	P52789
ENSG00000159433.12	ENSP00000290607.7	Q9P2P6
ENSG00000159479.17	ENSP00000361535.4	Q96G25
ENSG00000159588.15	ENSP00000432172.1	Q96LX7
ENSG00000159618.16	ENSP00000290823.4	Q8IZF4
ENSG00000159763.4	ENSP00000291009.3	P12273
ENSG00000159882.13	ENSP00000409318.1	Q9UIE0
ENSG00000159885.14	ENSP00000375822.2	Q9UK12
ENSG00000159917.17	ENSP00000291182.3	Q14590
ENSG00000160007.19	ENSP00000500409.1	Q9NRY4
ENSG00000160013.9	ENSP00000291294.1	P43119
ENSG00000160094.15	ENSP00000446335.1	Q5T0B9
ENSG00000160117.16	ENSP00000384008.3	Q8NAG6
ENSG00000160179.19	ENSP00000381467.3	P45844
ENSG00000160180.17	ENSP00000430690.2	
ENSG00000160199.15	ENSP00000291547.4	P55347
ENSG00000160208.13	ENSP00000339145.4	Q14684
ENSG00000160223.17	ENSP00000384432.3	O75144
ENSG00000160229.13	ENSP00000461425.1	Q6ZN08
ENSG00000160298.18	ENSP00000291691.8	P58505
ENSG00000160305.18	ENSP00000392066.2	Q14689
ENSG00000160321.16	ENSP00000380315.3	O43345
ENSG00000172687.14	ENSP00000507366.1	Q8NE65
ENSG00000160401.15	ENSP00000362392.1	Q5JU67
ENSG00000160606.11	ENSP00000292090.3	Q96CP7
ENSG00000160716.6	ENSP00000357461.3	P17787
ENSG00000160785.14	ENSP00000352497.4	Q96H78
ENSG00000160789.24	ENSP00000357283.4	P02545
ENSG00000160808.11	ENSP00000292327.4	P08590
ENSG00000160868.16	ENSP00000498939.1	P08684
ENSG00000161031.13	ENSP00000345968.4	Q96PD5
ENSG00000161298.19	ENSP00000292928.2	Q96SR6
ENSG00000161594.7	ENSP00000293303.4	Q6JEL2
ENSG00000161692.18	ENSP00000323663.3	Q8NFT6
ENSG00000161850.3	ENSP00000257974.3	Q9NSB4
ENSG00000161860.8	ENSP00000293695.6	Q6PIF2
ENSG00000162073.14	ENSP00000321804.8	Q8N4S7
ENSG00000162078.12	ENSP00000371715.4	Q96DA0
ENSG00000162267.13	ENSP00000415769.2	Q06033
ENSG00000162365.13	ENSP00000360958.3	Q5TCH4
ENSG00000162378.13	ENSP00000294353.6	Q9C0D3
ENSG00000162398.12	ENSP00000360320.3	Q3ZCV2
ENSG00000162415.7	ENSP00000352614.5	Q9P217
ENSG00000162437.15	ENSP00000294428.3	Q9HCJ3
ENSG00000162438.12	ENSP00000365116.4	Q99895
ENSG00000162444.12	ENSP00000294435.7	Q96R05
ENSG00000162618.15	ENSP00000359778.3	Q9HBW9
ENSG00000162631.20	ENSP00000359085.1	Q9Y2I2
ENSG00000162687.19	ENSP00000294725.8	Q6UVM3
ENSG00000162688.17	ENSP00000355106.3	P35573
ENSG00000162694.14	ENSP00000359132.3	Q9UBQ6
ENSG00000162711.18	ENSP00000337383.4	
ENSG00000162729.14	ENSP00000316664.7	Q969P0
ENSG00000162738.7	ENSP00000357040.2	Q9ULK5
ENSG00000162851.8	ENSP00000355471.4	Q9H5Q4
ENSG00000162892.16	ENSP00000294984.2	Q13007
ENSG00000162896.6	ENSP00000348888.4	P01833
ENSG00000128567.17	ENSP00000367817.3	O00592
ENSG00000162928.9	ENSP00000295030.4	Q92968
ENSG00000162946.23	ENSP00000403888.4	Q9NRI5
ENSG00000162980.17	ENSP00000295087.8	Q9Y689
ENSG00000162998.5	ENSP00000295113.4	Q92765
ENSG00000163006.12	ENSP00000295124.4	Q96M89
ENSG00000163071.11	ENSP00000295213.4	Q8TC71
ENSG00000163082.10	ENSP00000315137.7	Q8IWX5
ENSG00000163092.22	ENSP00000386840.2	A4UGR9
ENSG00000163161.14	ENSP00000285398.2	P19447
ENSG00000163218.15	ENSP00000352672.5	Q96LB8
ENSG00000163283.7	ENSP00000375881.2	P05187
ENSG00000163297.18	ENSP00000385575.2	P58335
ENSG00000163328.14	ENSP00000376335.2	Q7Z3F1
ENSG00000163357.11	ENSP00000295542.2	Q5T197
ENSG00000163428.4	ENSP00000295628.3	Q96CX6
ENSG00000163501.7	ENSP00000295731.5	Q14623
ENSG00000163508.13	ENSP00000388620.1	O95936
ENSG00000163515.7	ENSP00000295755.6	Q9BQ08
ENSG00000163517.15	ENSP00000295757.3	Q96DB2
ENSG00000163545.11	ENSP00000356125.5	Q9H093
ENSG00000163558.13	ENSP00000295797.4	P41743
ENSG00000163568.16	ENSP00000357112.4	O14862
ENSG00000163581.14	ENSP00000323568.3	P11168
ENSG00000163596.17	ENSP00000351047.2	Q8NDH6
ENSG00000163655.16	ENSP00000419851.1	P49915
ENSG00000163694.15	ENSP00000295971.7	A0AV96
ENSG00000163704.12	ENSP00000392511.1	Q5FWE3
ENSG00000163751.4	ENSP00000296046.3	P15088
ENSG00000163781.14	ENSP00000260810.5	Q92547
ENSG00000163798.14	ENSP00000323837.7	
ENSG00000163808.17	ENSP00000324020.4	Q9NS87
ENSG00000163814.8	ENSP00000296129.1	Q9H5V8
ENSG00000163827.14	ENSP00000379241.3	Q9BYS8
ENSG00000163840.10	ENSP00000296161.4	Q8TDB6
ENSG00000163898.10	ENSP00000296252.4	Q8WWY8
ENSG00000163918.12	ENSP00000296273.2	P35249
ENSG00000163938.17	ENSP00000395772.1	Q9BVP2
ENSG00000163959.10	ENSP00000296327.5	Q86UW1
ENSG00000163960.12	ENSP00000296328.4	O94888
ENSG00000164007.11	ENSP00000296387.1	Q8N6F1
ENSG00000164032.12	ENSP00000296417.5	P0C0S5
ENSG00000166839.17	ENSP00000325895.9	Q495B1
ENSG00000164045.12	ENSP00000303706.3	P30304
ENSG00000164051.14	ENSP00000379047.2	Q96ER9
ENSG00000164089.9	ENSP00000296486.3	Q8TBG4
ENSG00000164104.12	ENSP00000296503.5	P26583
ENSG00000164134.13	ENSP00000296543.4	Q9BXJ9
ENSG00000164236.12	ENSP00000296657.4	A6NCL7
ENSG00000164265.9	ENSP00000296694.4	Q96PL1
ENSG00000164283.13	ENSP00000370812.4	Q9NQ30
ENSG00000164296.7	ENSP00000296736.3	Q17RP2
ENSG00000164338.10	ENSP00000296792.4	Q8TED0
ENSG00000164430.17	ENSP00000359339.3	Q8N884
ENSG00000164542.13	ENSP00000390837.1	Q8NCT3
ENSG00000164597.15	ENSP00000297135.4	
ENSG00000164619.10	ENSP00000497748.1	Q8N8U9
ENSG00000164626.9	ENSP00000352527.3	O95279
ENSG00000164627.18	ENSP00000287152.7	Q6ZMV9
ENSG00000164687.11	ENSP00000297258.6	Q01469
ENSG00000164808.17	ENSP00000297423.4	Q14159
ENSG00000164823.11	ENSP00000396445.2	Q9Y236
ENSG00000164867.11	ENSP00000297494.3	P29474
ENSG00000164879.7	ENSP00000285381.2	P07451
ENSG00000164885.13	ENSP00000419782.1	Q00535
ENSG00000164916.11	ENSP00000328720.4	P85037
ENSG00000164944.12	ENSP00000297591.5	Q69YN4
ENSG00000164972.14	ENSP00000297623.2	Q8NCR6
ENSG00000165046.13	ENSP00000369291.4	Q2VYF4
ENSG00000165061.15	ENSP00000297737.6	Q9H898
ENSG00000165185.15	ENSP00000336940.6	Q8N8K9
ENSG00000165304.8	ENSP00000298048.2	Q14680
ENSG00000165323.16	ENSP00000432586.2	Q8TDW7
ENSG00000165379.14	ENSP00000298119.4	Q96NI6
ENSG00000165490.13	ENSP00000435421.1	Q8IXT1
ENSG00000165516.11	ENSP00000298307.5	Q9Y2U9
ENSG00000165548.11	ENSP00000298351.4	Q9P1W3
ENSG00000165588.19	ENSP00000500115.1	P32243
ENSG00000165660.8	ENSP00000298492.5	Q15018
ENSG00000165661.17	ENSP00000351536.5	Q6ZRP7
ENSG00000165682.15	ENSP00000298527.6	Q9P126
ENSG00000165684.6	ENSP00000510559.1	Q5SXM2
ENSG00000165724.6	ENSP00000298585.2	Q96E35
ENSG00000165730.16	ENSP00000298596.6	Q6ZVD7
ENSG00000165757.9	ENSP00000364526.1	Q9P266
ENSG00000165807.8	ENSP00000298705.1	Q96LQ0
ENSG00000165828.15	ENSP00000416126.2	Q96NZ9
ENSG00000165841.11	ENSP00000360372.3	
ENSG00000165861.14	ENSP00000450742.1	Q9HBF4
ENSG00000165934.13	ENSP00000298875.4	Q9P2I0
ENSG00000165953.10	ENSP00000503935.1	Q8IW75
ENSG00000166006.14	ENSP00000449253.2	Q96PR1
ENSG00000166073.11	ENSP00000453076.1	Q14439
ENSG00000166166.13	ENSP00000374399.4	Q96FX7
ENSG00000166200.15	ENSP00000373553.5	P61201
ENSG00000166261.11	ENSP00000432504.1	O95125
ENSG00000166266.14	ENSP00000376808.2	Q93034
ENSG00000166321.14	ENSP00000349874.4	Q86X67
ENSG00000166323.13	ENSP00000376799.1	Q8NCR3
ENSG00000166342.19	ENSP00000313088.6	Q8TDF5
ENSG00000166441.13	ENSP00000346015.5	P46776
ENSG00000166455.14	ENSP00000299578.4	Q6P387
ENSG00000166510.14	ENSP00000466690.1	Q9H2F9
ENSG00000166527.8	ENSP00000299665.2	Q8WXI8
ENSG00000166578.10	ENSP00000400669.2	Q96DY2
ENSG00000166589.13	ENSP00000299752.4	O75309
ENSG00000166592.12	ENSP00000299759.6	P55042
ENSG00000166596.15	ENSP00000339449.5	Q8N1V2
ENSG00000166619.15	ENSP00000362637.2	P62952
ENSG00000166750.10	ENSP00000299977.3	Q08AF3
ENSG00000166816.15	ENSP00000417011.2	Q86WU2
ENSG00000166819.12	ENSP00000300055.5	O60240
ENSG00000166828.3	ENSP00000300061.2	P51170
ENSG00000166866.13	ENSP00000300119.3	Q9UBC5
ENSG00000166920.13	ENSP00000379887.2	Q9C002
ENSG00000166924.9	ENSP00000300179.2	Q6ZVC0
ENSG00000166947.15	ENSP00000396616.2	P16452
ENSG00000167005.14	ENSP00000300291.5	O43809
ENSG00000167080.9	ENSP00000377022.3	Q8NHY0
ENSG00000167220.12	ENSP00000300605.4	Q9H0R4
ENSG00000167286.11	ENSP00000300692.4	P04234
ENSG00000167315.18	ENSP00000285093.8	P42765
ENSG00000167363.14	ENSP00000300784.7	Q9H479
ENSG00000167434.10	ENSP00000300900.3	P22748
ENSG00000167447.13	ENSP00000300917.4	Q8ND04
ENSG00000167524.16	ENSP00000301037.5	
ENSG00000167525.15	ENSP00000507242.1	Q8NCQ7
ENSG00000167550.11	ENSP00000301068.6	Q8TAI7
ENSG00000167566.17	ENSP00000337998.6	
ENSG00000167600.14	ENSP00000308032.3	Q96SQ9
ENSG00000167619.13	ENSP00000301204.2	Q8NBT3
ENSG00000243772.8	ENSP00000342215.3	P43628
ENSG00000167646.14	ENSP00000432046.3	Q8N9W5
ENSG00000167654.18	ENSP00000390941.1	Q86WG3
ENSG00000167658.16	ENSP00000307940.5	P13639
ENSG00000167674.15	ENSP00000483345.1	Q7Z4V5
ENSG00000167693.17	ENSP00000337443.3	Q6DKJ4
ENSG00000167723.15	ENSP00000461518.2	Q8NET8
ENSG00000167748.11	ENSP00000301420.1	P06870
ENSG00000167749.12	ENSP00000326159.1	
ENSG00000167767.14	ENSP00000378292.2	Q6KB66
ENSG00000167769.5	ENSP00000301452.3	Q8TDN7
ENSG00000167771.6	ENSP00000301459.4	Q8IZ40
ENSG00000167780.12	ENSP00000301466.3	O75908
ENSG00000167916.5	ENSP00000264651.2	Q2M2I5
ENSG00000167925.16	ENSP00000467585.1	Q8N2G8
ENSG00000167967.16	ENSP00000301727.4	Q66K89
ENSG00000167969.13	ENSP00000301729.4	P42126
ENSG00000168004.10	ENSP00000444809.1	Q96KN8
ENSG00000168026.19	ENSP00000507739.1	Q8NDW8
ENSG00000168079.17	ENSP00000346990.3	Q6ZMJ2
ENSG00000168092.14	ENSP00000435289.1	P68402
ENSG00000168228.16	ENSP00000303468.4	Q9H5U6
ENSG00000107581.13	ENSP00000358140.3	Q14152
ENSG00000168453.16	ENSP00000370826.4	O43593
ENSG00000168461.13	ENSP00000461945.2	
ENSG00000168481.9	ENSP00000302297.2	Q8N145
ENSG00000168631.13	ENSP00000417182.1	Q3MIW9
ENSG00000168653.11	ENSP00000362060.3	O43920
ENSG00000168671.10	ENSP00000282507.3	Q3SY77
ENSG00000168679.18	ENSP00000358794.4	O15374
ENSG00000168685.15	ENSP00000306157.3	P16871
ENSG00000168824.15	ENSP00000480081.1	P42857
ENSG00000168826.16	ENSP00000338807.4	Q6ZSB9
ENSG00000168878.19	ENSP00000428719.2	P07988
ENSG00000168887.11	ENSP00000304410.5	Q2NKX9
ENSG00000168918.14	ENSP00000405338.2	Q92835
ENSG00000169064.13	ENSP00000502603.1	A8MT70
ENSG00000169126.16	ENSP00000306410.5	Q5T2S8
ENSG00000169228.14	ENSP00000304376.6	Q969Q5
ENSG00000169435.14	ENSP00000303877.5	Q6ZTQ3
ENSG00000169607.13	ENSP00000305204.6	Q8IYA6
ENSG00000169683.8	ENSP00000306760.3	Q96CN5
ENSG00000169714.17	ENSP00000410619.3	P62633
ENSG00000169758.13	ENSP00000373594.3	Q2M3C6
ENSG00000169885.10	ENSP00000304643.3	Q8TD86
ENSG00000169894.18	ENSP00000368771.5	Q02505
ENSG00000169914.6	ENSP00000364261.3	Q5T2D3
ENSG00000169918.10	ENSP00000305926.5	Q8TE49
ENSG00000169951.10	ENSP00000378526.2	Q96H86
ENSG00000169994.20	ENSP00000386461.3	Q6PIF6
ENSG00000170099.6	ENSP00000342850.3	P08185
ENSG00000170100.14	ENSP00000405289.3	Q96MU6
ENSG00000170162.14	ENSP00000320957.5	Q8N8G2
ENSG00000170190.16	ENSP00000330141.4	O15375
ENSG00000170271.11	ENSP00000320604.5	Q96IV6
ENSG00000170426.2	ENSP00000293502.1	Q8NEX9
ENSG00000170448.12	ENSP00000422037.1	Q6ZNB6
ENSG00000170484.10	ENSP00000307240.2	Q7RTS7
ENSG00000170515.14	ENSP00000302886.6	Q9UQ80
ENSG00000170442.12	ENSP00000444533.1	O43790
ENSG00000170537.13	ENSP00000304710.5	Q7Z402
ENSG00000170615.15	ENSP00000304783.3	P58743
ENSG00000170627.11	ENSP00000304185.5	Q8WW33
ENSG00000170703.16	ENSP00000377043.3	
ENSG00000170734.12	ENSP00000361310.4	Q9Y253
ENSG00000170836.13	ENSP00000306682.2	O15297
ENSG00000170852.12	ENSP00000302586.4	Q8IY47
ENSG00000170921.16	ENSP00000510600.1	Q9HCD6
ENSG00000170961.7	ENSP00000306991.4	Q92819
ENSG00000171017.11	ENSP00000306524.5	Q6NSJ5
ENSG00000171109.19	ENSP00000420617.1	Q8IWA4
ENSG00000171160.18	ENSP00000307636.6	Q8NDC4
ENSG00000171169.9	ENSP00000362170.4	Q69YI7
ENSG00000171189.18	ENSP00000327687.4	P39086
ENSG00000171291.9	ENSP00000506930.1	Q8NDP4
ENSG00000171310.11	ENSP00000305725.5	Q9NPF2
ENSG00000171320.15	ENSP00000306999.8	Q56NI9
ENSG00000171360.4	ENSP00000246646.3	O76015
ENSG00000171385.10	ENSP00000306923.4	Q9UK17
ENSG00000171431.4	ENSP00000167588.3	P35900
ENSG00000173908.9	ENSP00000305263.7	Q7Z3Y7
ENSG00000171451.15	ENSP00000310565.8	Q8IZU8
ENSG00000171488.15	ENSP00000359483.4	Q8TDW0
ENSG00000171490.13	ENSP00000460871.1	O76021
ENSG00000171497.5	ENSP00000303754.3	Q08752
ENSG00000171551.12	ENSP00000302051.1	O95672
ENSG00000171557.17	ENSP00000336829.3	P02679
ENSG00000171560.17	ENSP00000385981.3	P02671
ENSG00000171729.14	ENSP00000365176.1	Q9NW97
ENSG00000171757.17	ENSP00000414635.1	Q8IZ02
ENSG00000171777.16	ENSP00000479844.1	Q8TDF6
ENSG00000171811.14	ENSP00000357575.4	Q8IYW2
ENSG00000171861.11	ENSP00000306080.4	Q9HC36
ENSG00000171916.17	ENSP00000329932.6	Q6DKI2
ENSG00000172031.7	ENSP00000359410.4	Q8IUS5
ENSG00000172115.9	ENSP00000307786.2	P99999
ENSG00000172172.8	ENSP00000306548.3	Q9BYD1
ENSG00000172179.13	ENSP00000302150.1	P01236
ENSG00000172197.11	ENSP00000324944.7	Q6ZNC8
ENSG00000172201.12	ENSP00000367972.3	P47928
ENSG00000172244.9	ENSP00000303490.2	
ENSG00000172260.15	ENSP00000350364.4	Q7Z3B1
ENSG00000172264.18	ENSP00000507484.1	A1Z1Q3
ENSG00000172345.14	ENSP00000304032.6	Q9NSY2
ENSG00000172346.15	ENSP00000302485.7	Q9Y534
ENSG00000172350.10	ENSP00000481728.1	Q9H172
ENSG00000172367.16	ENSP00000347742.5	Q86UT5
ENSG00000172379.22	ENSP00000307479.4	Q9HBZ2
ENSG00000172466.16	ENSP00000261332.5	P17028
ENSG00000172508.11	ENSP00000510668.1	A5YM72
ENSG00000172554.12	ENSP00000311837.5	Q9NY99
ENSG00000172575.13	ENSP00000310244.5	O95267
ENSG00000172578.12	ENSP00000341342.3	Q8WZ60
ENSG00000172613.8	ENSP00000311360.2	Q99638
ENSG00000172667.11	ENSP00000311221.2	Q9HA38
	ENSP00000362250.5	
ENSG00000172830.13	ENSP00000312081.4	Q8TE77
ENSG00000172986.13	ENSP00000374268.4	A0PJZ3
ENSG00000173083.16	ENSP00000308107.5	Q9Y251
ENSG00000173163.11	ENSP00000308236.5	Q8N668
ENSG00000173193.15	ENSP00000418194.2	Q460N5
ENSG00000173212.5	ENSP00000358512.3	Q8N8X9
ENSG00000173214.7	ENSP00000500934.1	Q5TF39
ENSG00000173218.15	ENSP00000347672.2	Q8TAA9
ENSG00000173239.14	ENSP00000383901.3	Q5VYY2
ENSG00000173391.9	ENSP00000309124.3	P78380
ENSG00000173406.16	ENSP00000360280.1	O75553
ENSG00000173421.17	ENSP00000407837.2	Q8IYA8
ENSG00000173452.14	ENSP00000385087.2	
ENSG00000173467.9	ENSP00000308606.2	Q8TD06
ENSG00000173597.9	ENSP00000308770.2	O43704
ENSG00000173641.18	ENSP00000310111.9	Q9UBY9
ENSG00000170092.15	ENSP00000485398.1	A6NIY4
ENSG00000173705.9	ENSP00000308727.3	O60279
ENSG00000173805.16	ENSP00000334002.4	P54257
ENSG00000173852.16	ENSP00000490722.1	Q2PZI1
ENSG00000173926.6	ENSP00000309141.5	Q86UD3
ENSG00000174080.12	ENSP00000310832.5	Q9UBX1
ENSG00000174206.13	ENSP00000381132.4	
ENSG00000174226.9	ENSP00000312368.2	Q8N9S9
ENSG00000174327.7	ENSP00000309751.6	Q7RTY0
ENSG00000174332.6	ENSP00000486112.1	Q8NBF1
ENSG00000174371.17	ENSP00000355506.3	Q9UQ84
ENSG00000174442.12	ENSP00000311429.5	Q9H900
ENSG00000174502.19	ENSP00000356103.3	Q7LBE3
ENSG00000174567.8	ENSP00000308535.3	Q6ZVE7
ENSG00000174576.10	ENSP00000311196.2	Q8IUM7
ENSG00000174579.4	ENSP00000311827.2	Q9HCI7
ENSG00000174611.12	ENSP00000397598.2	Q8NBH2
ENSG00000174697.5	ENSP00000312652.4	P41159
ENSG00000174748.22	ENSP00000309334.5	P61313
ENSG00000174791.11	ENSP00000310406.4	Q13671
ENSG00000174885.13	ENSP00000433617.1	P59044
ENSG00000174903.16	ENSP00000310226.6	Q9H0U4
ENSG00000174945.14	ENSP00000506962.1	Q400G9
ENSG00000174950.11	ENSP00000363142.1	Q6UWJ8
ENSG00000175040.6	ENSP00000307911.3	Q9Y4C5
ENSG00000175048.17	ENSP00000352821.5	Q8IZN3
ENSG00000175054.16	ENSP00000343741.4	Q13535
ENSG00000175063.17	ENSP00000348838.4	O00762
ENSG00000175105.8	ENSP00000490842.1	
ENSG00000175229.7	ENSP00000308591.3	Q96A11
ENSG00000175294.6	ENSP00000309052.5	Q8NEC5
ENSG00000175315.3	ENSP00000311313.2	Q15828
ENSG00000175322.12	ENSP00000464872.2	Q8TB69
ENSG00000175352.12	ENSP00000310205.3	Q9NQ35
ENSG00000175376.9	ENSP00000434056.1	Q8N9N8
ENSG00000175467.15	ENSP00000310448.5	O43290
ENSG00000175538.11	ENSP00000310557.4	Q9Y6H6
ENSG00000175544.14	ENSP00000324960.5	P57796
ENSG00000175701.11	ENSP00000485064.1	Q8NCU8
ENSG00000175832.13	ENSP00000321835.4	P43268
ENSG00000176092.17	ENSP00000310435.6	Q8N1P7
ENSG00000176177.10	ENSP00000317431.6	Q8IYW4
ENSG00000176244.7	ENSP00000367453.4	Q8N6N7
ENSG00000176248.9	ENSP00000314004.2	Q9UJX6
ENSG00000176273.15	ENSP00000400932.1	Q2M3R5
ENSG00000176293.20	ENSP00000321406.5	P52742
ENSG00000176371.14	ENSP00000445451.1	Q7Z7L9
ENSG00000176387.7	ENSP00000316786.5	P80365
ENSG00000176438.13	ENSP00000507501.1	Q6ZMZ3
ENSG00000176597.12	ENSP00000316173.3	Q9BYG0
ENSG00000176842.16	ENSP00000378132.4	P78411
ENSG00000177054.14	ENSP00000400113.2	Q8IUH4
ENSG00000177098.9	ENSP00000322460.4	Q8IWT1
ENSG00000177370.5	ENSP00000320236.2	Q9Y584
ENSG00000177427.13	ENSP00000323591.4	Q96C03
ENSG00000177455.15	ENSP00000437940.2	P15391
ENSG00000177511.6	ENSP00000320431.2	O43173
ENSG00000177675.9	ENSP00000315945.3	Q9NR16
ENSG00000177692.12	ENSP00000371373.3	Q9NX36
ENSG00000177752.15	ENSP00000412696.4	
ENSG00000177791.12	ENSP00000352272.4	Q9NP98
ENSG00000177807.10	ENSP00000495557.1	P78508
ENSG00000178075.20	ENSP00000350881.4	Q8IYS0
ENSG00000178199.14	ENSP00000386616.3	A2A288
ENSG00000178233.18	ENSP00000393161.2	Q8IW70
ENSG00000178301.4	ENSP00000318770.3	Q8NBQ7
ENSG00000178562.18	ENSP00000324890.7	P10747
ENSG00000178607.17	ENSP00000401445.2	O75460
ENSG00000178685.14	ENSP00000325618.7	Q53GL7
ENSG00000178690.4	ENSP00000496812.1	Q8N1N2
ENSG00000178796.13	ENSP00000419249.1	A6NNX1
ENSG00000178809.12	ENSP00000318615.3	Q86UV7
ENSG00000196345.13	ENSP00000395524.1	Q9P0L1
ENSG00000179008.9	ENSP00000324920.3	Q8N1H7
ENSG00000179057.14	ENSP00000421191.1	Q8N9C0
ENSG00000179104.9	ENSP00000322300.3	Q8N394
ENSG00000179111.9	ENSP00000446205.2	Q9BYE0
ENSG00000179119.15	ENSP00000337991.5	Q68D10
ENSG00000179133.15	ENSP00000490528.2	
ENSG00000179148.10	ENSP00000400581.2	Q9BYJ1
ENSG00000179299.17	ENSP00000371201.2	Q8NE18
ENSG00000179314.16	ENSP00000323087.5	Q658N2
ENSG00000179397.18	ENSP00000355492.4	Q5SY80
ENSG00000179630.11	ENSP00000317619.5	Q8IV20
ENSG00000179632.10	ENSP00000318604.5	Q9H063
ENSG00000179776.19	ENSP00000344115.3	P33151
ENSG00000179902.13	ENSP00000358964.3	Q5T5A4
ENSG00000179913.11	ENSP00000321874.5	Q9Y2A9
ENSG00000180209.12	ENSP00000325239.7	Q96A32
ENSG00000180233.11	ENSP00000323879.4	Q8NHG8
ENSG00000180263.14	ENSP00000344446.4	Q6ZV73
ENSG00000180264.12	ENSP00000512565.1	
ENSG00000180316.13	ENSP00000490785.2	Q8N8W4
ENSG00000180488.16	ENSP00000359827.3	Q8NAN2
ENSG00000180638.19	ENSP00000391848.3	Q86VL8
ENSG00000180667.11	ENSP00000326813.4	Q5VVQ6
ENSG00000180745.5	ENSP00000357660.3	Q8NCR9
ENSG00000180758.12	ENSP00000366628.4	Q5UAW9
	ENSP00000514274.1	
ENSG00000181007.9	ENSP00000431265.1	Q8N141
ENSG00000181036.14	ENSP00000357086.3	Q6DN72
ENSG00000181038.14	ENSP00000341543.5	Q86XA0
ENSG00000181085.15	ENSP00000337691.4	Q8TD08
ENSG00000181350.12	ENSP00000419502.1	Q8NAA5
ENSG00000181450.18	ENSP00000344828.4	Q5SXM1
ENSG00000181472.5	ENSP00000323183.4	Q8N680
ENSG00000181652.20	ENSP00000491504.1	Q674R7
ENSG00000181690.8	ENSP00000325546.3	Q6DJT9
ENSG00000181744.9	ENSP00000320081.4	Q8NDZ4
ENSG00000182010.11	ENSP00000362894.3	Q8IZC4
ENSG00000182040.9	ENSP00000480279.1	Q495M9
ENSG00000182156.10	ENSP00000332656.5	
ENSG00000182197.13	ENSP00000367446.3	Q16394
ENSG00000182208.15	ENSP00000328694.6	
ENSG00000182264.9	ENSP00000327786.2	Q8IYV9
ENSG00000182272.12	ENSP00000328277.6	Q76KP1
ENSG00000182325.11	ENSP00000330098.5	
ENSG00000182372.10	ENSP00000328182.4	Q9UBY8
ENSG00000182504.11	ENSP00000342510.3	Q8IW35
ENSG00000182512.5	ENSP00000328570.4	Q86SX6
ENSG00000182578.14	ENSP00000501699.1	P07333
ENSG00000182585.10	ENSP00000411898.1	Q6UW88
ENSG00000182752.10	ENSP00000330658.3	Q13219
ENSG00000243955.6	ENSP00000335620.5	P08263
ENSG00000182795.13	ENSP00000352447.5	Q9BW04
ENSG00000182809.11	ENSP00000328521.5	P52943
ENSG00000182866.17	ENSP00000337825.5	P06239
ENSG00000182993.5	ENSP00000331691.2	Q5U649
ENSG00000183019.8	ENSP00000329920.3	
ENSG00000260691.7	ENSP00000477695.1	Q5TYW2
ENSG00000183378.13	ENSP00000484497.2	
ENSG00000183421.12	ENSP00000332454.3	P57078
ENSG00000183475.13	ENSP00000328327.8	Q9H672
ENSG00000183495.14	ENSP00000374212.2	
ENSG00000183530.14	ENSP00000331845.6	Q5THK1
ENSG00000205809.11	ENSP00000371327.2	
ENSG00000197128.13	ENSP00000348992.3	Q68DY9
ENSG00000183654.9	ENSP00000333181.7	A6NNE9
ENSG00000183655.13	ENSP00000336800.5	Q9H0H3
ENSG00000183682.8	ENSP00000327440.5	Q7Z5Y6
