ID	#Chr	start	end	GTEx_ID	gene	exon_number	n_exons	terminal_exon_flag	n_significant_tissues
chr3_183025755_183025804_-	chr3	183025755	183025804	ENSG00000078070.12_19	ENSG00000078070	19	22	FALSE	11
chr3_183833492_183833589_-	chr3	183833492	183833589	ENSG00000175193.13_10	ENSG00000175193	10	11	FALSE	15
chr3_183949753_183949881_-	chr3	183949753	183949881	ENSG00000114770.16_26	ENSG00000114770	26	35	FALSE	10
chr3_184166446_184166522_+	chr3	184166446	184166522	ENSG00000161202.17_11	ENSG00000161202	11	17	FALSE	13
chr3_184178857_184179191_+	chr3	184178857	184179191	ENSG00000161203.13_5	ENSG00000161203	5	15	FALSE	15
chr3_184187364_184187443_+	chr3	184187364	184187443	ENSG00000161204.11_4	ENSG00000161204	4	21	FALSE	12
chr3_184243791_184243996_-	chr3	184243791	184243996	ENSG00000214160.9_7	ENSG00000214160	7	11	FALSE	13
chr3_184317321_184317497_+	chr3	184317321	184317497	ENSG00000114867.20_5	ENSG00000114867	5	34	FALSE	13
chr3_184366717_184366800_+	chr3	184366717	184366800	ENSG00000163882.9_7	ENSG00000163882	7	8	FALSE	16
chr3_184386492_184386755_+	chr3	184386492	184386755	ENSG00000090539.15_17	ENSG00000090539	17	24	FALSE	12
chr3_185617480_185617611_+	chr3	185617480	185617611	ENSG00000163904.12_13	ENSG00000163904	13	18	FALSE	15
chr3_185926601_185926734_-	chr3	185926601	185926734	ENSG00000136527.17_5	ENSG00000136527	5	12	FALSE	17
chr3_186787479_186787584_+	chr3	186787479	186787584	ENSG00000156976.16_8	ENSG00000156976	8	11	FALSE	17
chr3_187726731_187726898_-	chr3	187726731	187726898	ENSG00000113916.17_7	ENSG00000113916	7	10	FALSE	17
chr3_193617178_193617285_+	chr3	193617178	193617285	ENSG00000198836.8_5	ENSG00000198836	5	35	FALSE	16
chr3_195524819_195524896_-	chr3	195524819	195524896	ENSG00000184203.7_4	ENSG00000184203	4	7	FALSE	11
chr3_195882051_195882328_-	chr3	195882051	195882328	ENSG00000061938.16_17	ENSG00000061938	17	29	FALSE	13
chr3_195985627_195985789_-	chr3	195985627	195985789	ENSG00000185485.14_3	ENSG00000185485	3	18	FALSE	13
chr3_196296006_196296069_-	chr3	196296006	196296069	ENSG00000213123.10_5	ENSG00000213123	5	7	FALSE	10
chr3_196827196_196827333_+	chr3	196827196	196827333	ENSG00000180370.10_14	ENSG00000180370	14	15	FALSE	12
chr3_197149743_197149796_-	chr3	197149743	197149796	ENSG00000075711.20_12	ENSG00000075711	12	34	FALSE	15
chr3_197866112_197866219_+	chr3	197866112	197866219	ENSG00000186001.12_17	ENSG00000186001	17	22	FALSE	12
chr3_197951159_197951328_+	chr3	197951159	197951328	ENSG00000182899.14_4	ENSG00000182899	4	8	FALSE	10
chr4_530436_530745_+	chr4	530436	530745	ENSG00000174227.15_16	ENSG00000174227	16	23	FALSE	14
chr4_683210_683367_-	chr4	683210	683367	ENSG00000169026.12_10	ENSG00000169026	10	13	FALSE	11
chr4_851750_851974_-	chr4	851750	851974	ENSG00000178950.16_29	ENSG00000178950	29	32	FALSE	17
chr4_952367_952450_+	chr4	952367	952450	ENSG00000127419.16_9	ENSG00000127419	9	13	FALSE	17
chr4_962772_962920_-	chr4	962772	962920	ENSG00000145214.13_19	ENSG00000145214	19	25	FALSE	14
chr4_1214191_1214473_-	chr4	1214191	1214473	ENSG00000159692.15_11	ENSG00000159692	11	14	FALSE	13
chr4_1322381_1322503_+	chr4	1322381	1322503	ENSG00000090316.15_8	ENSG00000090316	8	15	FALSE	13
chr4_1703596_1703700_-	chr4	1703596	1703700	ENSG00000163950.12_3	ENSG00000163950	3	8	FALSE	16
chr4_2689506_2689704_+	chr4	2689506	2689704	ENSG00000125386.15_16	ENSG00000125386	16	26	FALSE	12
chr4_2831923_2831978_+	chr4	2831923	2831978	ENSG00000087266.15_23	ENSG00000087266	23	26	FALSE	15
chr4_2881898_2882060_+	chr4	2881898	2882060	ENSG00000087274.16_8	ENSG00000087274	8	23	FALSE	17
chr4_2932351_2932512_-	chr4	2932351	2932512	ENSG00000109736.14_6	ENSG00000109736	6	12	FALSE	13
chr4_4425161_4425222_-	chr4	4425161	4425222	ENSG00000168818.9_9	ENSG00000168818	9	13	FALSE	10
chr4_6598198_6598354_+	chr4	6598198	6598354	ENSG00000013288.8_9	ENSG00000013288	9	18	FALSE	10
chr4_6876660_6876757_+	chr4	6876660	6876757	ENSG00000170871.11_11	ENSG00000170871	11	12	FALSE	13
chr4_7006632_7006726_+	chr4	7006632	7006726	ENSG00000132405.18_14	ENSG00000132405	14	20	FALSE	13
chr4_8236278_8236428_+	chr4	8236278	8236428	ENSG00000125089.16_25	ENSG00000125089	25	28	FALSE	12
chr4_10098990_10099139_-	chr4	10098990	10099139	ENSG00000071127.16_6	ENSG00000071127	6	23	FALSE	17
chr4_17509271_17509363_-	chr4	17509271	17509363	ENSG00000151552.11_3	ENSG00000151552	3	9	FALSE	17
chr4_17597046_17597134_+	chr4	17597046	17597134	ENSG00000002549.12_11	ENSG00000002549	11	15	FALSE	16
chr4_25413645_25413742_+	chr4	25413645	25413742	ENSG00000053900.10_21	ENSG00000053900	21	28	FALSE	10
chr4_37844364_37844553_+	chr4	37844364	37844553	ENSG00000169299.13_8	ENSG00000169299	8	14	FALSE	13
chr4_38940968_38941021_+	chr4	38940968	38941021	ENSG00000197712.11_15	ENSG00000197712	15	16	FALSE	11
chr4_39456406_39456538_-	chr4	39456406	39456538	ENSG00000163682.15_4	ENSG00000163682	4	7	FALSE	17
chr4_39777682_39777810_+	chr4	39777682	39777810	ENSG00000078140.13_6	ENSG00000078140	6	7	FALSE	17
chr4_41676379_41676462_+	chr4	41676379	41676462	ENSG00000064042.17_36	ENSG00000064042	36	46	FALSE	11
chr4_44718309_44718410_-	chr4	44718309	44718410	ENSG00000163281.11_3	ENSG00000163281	3	10	FALSE	10
chr4_47862846_47862915_-	chr4	47862846	47862915	ENSG00000170448.11_19	ENSG00000170448	19	23	FALSE	13
chr4_48832620_48832761_+	chr4	48832620	48832761	ENSG00000109180.14_4	ENSG00000109180	4	13	FALSE	17
chr4_48892771_48892889_-	chr4	48892771	48892889	ENSG00000145247.11_7	ENSG00000145247	7	8	FALSE	10
chr4_52033431_52033640_-	chr4	52033431	52033640	ENSG00000163069.12_2	ENSG00000163069	2	7	FALSE	15
chr4_53452920_53453142_+	chr4	53452920	53453142	ENSG00000145216.15_18	ENSG00000145216	18	19	FALSE	14
chr4_55367588_55367722_+	chr4	55367588	55367722	ENSG00000128039.10_4	ENSG00000128039	4	5	FALSE	15
chr4_55425376_55426172_+	chr4	55425376	55426172	ENSG00000134851.12_10	ENSG00000134851	10	12	FALSE	16
chr4_55893552_55893780_+	chr4	55893552	55893780	ENSG00000090989.17_15	ENSG00000090989	15	19	FALSE	10
chr4_57040824_57040933_-	chr4	57040824	57040933	ENSG00000163453.11_3	ENSG00000163453	3	7	FALSE	14
chr4_68320123_68320205_-	chr4	68320123	68320205	ENSG00000083896.12_13	ENSG00000083896	13	18	FALSE	13
chr4_70804348_70804416_+	chr4	70804348	70804416	ENSG00000018189.12_22	ENSG00000018189	22	23	FALSE	17
chr4_70831539_70831674_-	chr4	70831539	70831674	ENSG00000132463.13_6	ENSG00000132463	6	11	FALSE	13
chr4_73085249_73085446_-	chr4	73085249	73085446	ENSG00000132466.18_35	ENSG00000132466	35	40	FALSE	14
chr4_75808953_75809051_+	chr4	75808953	75809051	ENSG00000138768.14_23	ENSG00000138768	23	26	FALSE	16
chr4_76136186_76136412_-	chr4	76136186	76136412	ENSG00000138750.14_9	ENSG00000138750	9	17	FALSE	13
chr4_77056249_77056323_-	chr4	77056249	77056323	ENSG00000118816.9_7	ENSG00000118816	7	10	FALSE	17
chr4_82359471_82359639_-	chr4	82359471	82359639	ENSG00000138668.18_6	ENSG00000138668	6	12	FALSE	15
chr4_82426463_82426633_-	chr4	82426463	82426633	ENSG00000152795.17_6	ENSG00000152795	6	7	FALSE	17
chr4_82451043_82451245_+	chr4	82451043	82451245	ENSG00000145293.15_3	ENSG00000145293	3	6	FALSE	14
chr4_82821037_82821108_-	chr4	82821037	82821108	ENSG00000138674.16_30	ENSG00000138674	30	31	FALSE	16
chr4_83446835_83447035_-	chr4	83446835	83447035	ENSG00000163312.10_4	ENSG00000163312	4	18	FALSE	10
chr4_87449142_87449253_+	chr4	87449142	87449253	ENSG00000170502.12_7	ENSG00000170502	7	10	FALSE	14
chr4_87480372_87480520_-	chr4	87480372	87480520	ENSG00000152583.12_15	ENSG00000152583	15	17	FALSE	14
chr4_87980046_87980126_+	chr4	87980046	87980126	ENSG00000118785.13_5	ENSG00000118785	5	8	FALSE	11
chr4_88057983_88058103_+	chr4	88057983	88058103	ENSG00000118762.7_9	ENSG00000118762	9	15	FALSE	10
chr4_88677964_88678134_+	chr4	88677964	88678134	ENSG00000138641.15_26	ENSG00000138641	26	33	FALSE	10
chr4_99318785_99318886_-	chr4	99318785	99318886	ENSG00000196616.13_3	ENSG00000196616	3	10	FALSE	10
chr4_102533845_102533885_+	chr4	102533845	102533885	ENSG00000109320.11_7	ENSG00000109320	7	29	FALSE	11
chr4_103028747_103028883_-	chr4	103028747	103028883	ENSG00000164038.14_15	ENSG00000164038	15	17	FALSE	11
chr4_105437950_105438036_-	chr4	105437950	105438036	ENSG00000138777.19_10	ENSG00000138777	10	19	FALSE	13
chr4_105958471_105958557_+	chr4	105958471	105958557	ENSG00000168743.12_15	ENSG00000168743	15	19	FALSE	10
chr4_108027688_108027760_+	chr4	108027688	108027760	ENSG00000138796.16_8	ENSG00000138796	8	13	FALSE	12
chr4_108621951_108622024_+	chr4	108621951	108622024	ENSG00000109475.16_3	ENSG00000109475	3	8	FALSE	11
chr4_108657450_108657647_+	chr4	108657450	108657647	ENSG00000198856.12_4	ENSG00000198856	4	6	FALSE	15
chr4_109718683_109718761_-	chr4	109718683	109718761	ENSG00000123739.10_2	ENSG00000123739	2	4	FALSE	14
chr4_109815553_109815804_+	chr4	109815553	109815804	ENSG00000109534.16_2	ENSG00000109534	2	8	FALSE	10
chr4_112262988_112263086_+	chr4	112262988	112263086	ENSG00000138660.11_6	ENSG00000138660	6	10	FALSE	11
chr4_113373285_113373449_+	chr4	113373285	113373449	ENSG00000145362.17_59	ENSG00000145362	59	62	FALSE	10
chr4_118279321_118279431_+	chr4	118279321	118279431	ENSG00000269893.6_2	ENSG00000269893	2	3	FALSE	13
chr4_119291165_119291261_+	chr4	119291165	119291261	ENSG00000145390.11_21	ENSG00000145390	21	22	FALSE	10
chr4_121671547_121671642_-	chr4	121671547	121671642	ENSG00000164111.14_10	ENSG00000164111	10	13	FALSE	17
chr4_121809967_121810099_+	chr4	121809967	121810099	ENSG00000123737.12_8	ENSG00000123737	8	11	FALSE	10
chr4_123397611_123398513_+	chr4	123397611	123398513	ENSG00000164056.10_2	ENSG00000164056	2	5	FALSE	11
chr4_128021137_128021238_+	chr4	128021137	128021238	ENSG00000164074.14_13	ENSG00000164074	13	16	FALSE	11
chr4_128082165_128082305_+	chr4	128082165	128082305	ENSG00000138709.17_5	ENSG00000138709	5	23	FALSE	15
chr4_139678543_139678642_+	chr4	139678543	139678642	ENSG00000085871.8_2	ENSG00000085871	2	10	FALSE	15
chr4_140379569_140379652_+	chr4	140379569	140379652	ENSG00000153130.17_7	ENSG00000153130	7	8	FALSE	16
chr4_147847151_147847222_+	chr4	147847151	147847222	ENSG00000071205.11_4	ENSG00000071205	4	24	FALSE	10
chr4_151100975_151101162_+	chr4	151100975	151101162	ENSG00000145425.9_3	ENSG00000145425	3	5	FALSE	17
chr4_151165589_151165696_-	chr4	151165589	151165696	ENSG00000109686.17_13	ENSG00000109686	13	28	FALSE	10
chr4_151672762_151672896_-	chr4	151672762	151672896	ENSG00000059691.11_15	ENSG00000059691	15	16	FALSE	16
chr4_154546123_154546213_-	chr4	154546123	154546213	ENSG00000171566.11_7	ENSG00000171566	7	17	FALSE	11
chr4_158680467_158680607_+	chr4	158680467	158680607	ENSG00000171503.11_3	ENSG00000171503	3	15	FALSE	13
chr4_163515313_163515461_+	chr4	163515313	163515461	ENSG00000198498.9_5	ENSG00000198498	5	7	FALSE	10
chr4_165228807_165228913_+	chr4	165228807	165228913	ENSG00000109466.13_7	ENSG00000109466	7	21	FALSE	14
chr4_165333340_165333625_+	chr4	165333340	165333625	ENSG00000052802.12_2	ENSG00000052802	2	6	FALSE	14
chr4_168898493_168898714_+	chr4	168898493	168898714	ENSG00000129116.17_22	ENSG00000129116	22	30	FALSE	14
chr4_169438083_169438259_-	chr4	169438083	169438259	ENSG00000137601.16_29	ENSG00000137601	29	37	FALSE	11
chr4_177436276_177436351_-	chr4	177436276	177436351	ENSG00000038002.8_6	ENSG00000038002	6	9	FALSE	11
chr4_183682732_183682825_+	chr4	183682732	183682825	ENSG00000168538.15_12	ENSG00000168538	12	31	FALSE	10
chr4_184803320_184803546_-	chr4	184803320	184803546	ENSG00000151726.13_6	ENSG00000151726	6	27	FALSE	11
chr4_185351445_185351609_+	chr4	185351445	185351609	ENSG00000109762.15_16	ENSG00000109762	16	22	FALSE	12
chr4_185514703_185514890_-	chr4	185514703	185514890	ENSG00000154553.13_4	ENSG00000154553	4	9	FALSE	12
chr4_189960748_189960839_+	chr4	189960748	189960839	ENSG00000109536.11_8	ENSG00000109536	8	12	FALSE	15
chr5_250992_251103_+	chr5	250992	251103	ENSG00000073578.16_14	ENSG00000073578	14	18	FALSE	17
chr5_306602_306760_+	chr5	306602	306760	ENSG00000249915.7_4	ENSG00000249915	4	7	FALSE	17
chr5_456889_457006_+	chr5	456889	457006	ENSG00000180104.15_7	ENSG00000180104	7	16	FALSE	17
chr5_6631873_6631977_-	chr5	6631873	6631977	ENSG00000037474.14_3	ENSG00000037474	3	20	FALSE	15
chr5_10235211_10235261_-	chr5	10235211	10235261	ENSG00000150756.13_5	ENSG00000150756	5	6	FALSE	11
chr5_10381800_10381943_+	chr5	10381800	10381943	ENSG00000145495.15_6	ENSG00000145495	6	30	FALSE	14
chr5_14507122_14507260_+	chr5	14507122	14507260	ENSG00000038382.18_61	ENSG00000038382	61	63	FALSE	13
chr5_21491321_21491508_+	chr5	21491321	21491508	ENSG00000183666.16_7	ENSG00000183666	7	12	FALSE	12
chr5_32143749_32143880_-	chr5	32143749	32143880	ENSG00000113384.13_2	ENSG00000113384	2	4	FALSE	12
chr5_32276682_32276742_-	chr5	32276682	32276742	ENSG00000150712.10_3	ENSG00000150712	3	18	FALSE	10
chr5_37057186_37057332_+	chr5	37057186	37057332	ENSG00000164190.17_45	ENSG00000164190	45	49	FALSE	15
chr5_37722855_37722934_+	chr5	37722855	37722934	ENSG00000082068.8_17	ENSG00000082068	17	20	FALSE	12
chr5_38932872_38935641_+	chr5	38932872	38935641	ENSG00000145623.12_19	ENSG00000145623	19	22	FALSE	10
chr5_40769416_40769503_-	chr5	40769416	40769503	ENSG00000132356.11_6	ENSG00000132356	6	11	FALSE	14
chr5_41794677_41794749_-	chr5	41794677	41794749	ENSG00000083720.12_14	ENSG00000083720	14	21	FALSE	10
chr5_41927013_41927248_+	chr5	41927013	41927248	ENSG00000151876.12_2	ENSG00000151876	2	8	FALSE	10
chr5_43139165_43139309_+	chr5	43139165	43139309	ENSG00000172262.11_14	ENSG00000172262	14	20	FALSE	14
chr5_53658551_53658624_+	chr5	53658551	53658624	ENSG00000164258.11_6	ENSG00000164258	6	7	FALSE	16
chr5_55262630_55262932_-	chr5	55262630	55262932	ENSG00000067248.9_24	ENSG00000067248	24	27	FALSE	13
chr5_57214074_57214193_+	chr5	57214074	57214193	ENSG00000062194.15_3	ENSG00000062194	3	14	FALSE	15
chr5_61098992_61099032_+	chr5	61098992	61099032	ENSG00000164182.10_5	ENSG00000164182	5	6	FALSE	16
chr5_62392171_62392234_-	chr5	62392171	62392234	ENSG00000086189.9_10	ENSG00000086189	10	13	FALSE	11
chr5_62601764_62601848_+	chr5	62601764	62601848	ENSG00000086200.16_33	ENSG00000086200	33	34	FALSE	13
chr5_64977135_64977238_+	chr5	64977135	64977238	ENSG00000153015.15_16	ENSG00000153015	16	17	FALSE	11
chr5_65571839_65572286_+	chr5	65571839	65572286	ENSG00000113593.11_8	ENSG00000113593	8	14	FALSE	13
chr5_66170585_66170947_+	chr5	66170585	66170947	ENSG00000153914.15_14	ENSG00000153914	14	17	FALSE	12
chr5_69226338_69226401_+	chr5	69226338	69226401	ENSG00000134056.11_2	ENSG00000134056	2	4	FALSE	15
chr5_69255460_69255528_+	chr5	69255460	69255528	ENSG00000134058.11_6	ENSG00000134058	6	13	FALSE	15
chr5_70946066_70946176_+	chr5	70946066	70946176	ENSG00000172062.16_8	ENSG00000172062	8	11	FALSE	11
chr5_72897056_72897151_+	chr5	72897056	72897151	ENSG00000083312.17_25	ENSG00000083312	25	30	FALSE	11
chr5_74738502_74738642_-	chr5	74738502	74738642	ENSG00000164347.17_15	ENSG00000164347	15	24	FALSE	11
chr5_74773868_74774060_+	chr5	74773868	74774060	ENSG00000164346.9_5	ENSG00000164346	5	6	FALSE	17
chr5_75371103_75374191_-	chr5	75371103	75374191	ENSG00000113163.15_19	ENSG00000113163	19	20	FALSE	12
chr5_75593878_75594049_+	chr5	75593878	75594049	ENSG00000122008.15_16	ENSG00000122008	16	21	FALSE	12
chr5_77464761_77464809_-	chr5	77464761	77464809	ENSG00000164253.13_9	ENSG00000164253	9	20	FALSE	11
chr5_78449933_78450034_+	chr5	78449933	78450034	ENSG00000085365.17_9	ENSG00000085365	9	12	FALSE	11
chr5_80448026_80448404_+	chr5	80448026	80448404	ENSG00000039319.16_13	ENSG00000039319	13	24	FALSE	11
chr5_81513628_81513717_-	chr5	81513628	81513717	ENSG00000145687.16_10	ENSG00000145687	10	23	FALSE	15
chr5_87380509_87380595_+	chr5	87380509	87380595	ENSG00000145715.14_21	ENSG00000145715	21	26	FALSE	10
chr5_87404842_87405007_-	chr5	87404842	87405007	ENSG00000134480.13_6	ENSG00000134480	6	10	FALSE	15
chr5_95919424_95919545_-	chr5	95919424	95919545	ENSG00000118985.15_5	ENSG00000118985	5	14	FALSE	13
chr5_96770531_96770602_+	chr5	96770531	96770602	ENSG00000153113.23_42	ENSG00000153113	42	46	FALSE	17
chr5_96788531_96788685_-	chr5	96788531	96788685	ENSG00000164307.12_12	ENSG00000164307	12	22	FALSE	10
chr5_103017334_103017433_+	chr5	103017334	103017433	ENSG00000145730.20_33	ENSG00000145730	33	37	FALSE	14
chr5_111507329_111507442_-	chr5	111507329	111507442	ENSG00000164211.12_2	ENSG00000164211	2	7	FALSE	10
chr5_112902380_112902518_-	chr5	112902380	112902518	ENSG00000129625.12_4	ENSG00000129625	4	6	FALSE	17
chr5_115895087_115895158_+	chr5	115895087	115895158	ENSG00000177879.15_4	ENSG00000177879	4	8	FALSE	17
chr5_119238989_119239080_+	chr5	119238989	119239080	ENSG00000172869.14_47	ENSG00000172869	47	50	FALSE	10
chr5_126469677_126469788_+	chr5	126469677	126469788	ENSG00000155324.9_9	ENSG00000155324	9	20	FALSE	12
chr5_131162111_131162676_-	chr5	131162111	131162676	ENSG00000169567.11_3	ENSG00000169567	3	5	FALSE	15
chr5_132271791_132271908_+	chr5	132271791	132271908	ENSG00000131435.12_8	ENSG00000131435	8	9	FALSE	12
chr5_132449650_132449689_+	chr5	132449650	132449689	ENSG00000197536.11_3	ENSG00000197536	3	12	FALSE	13
chr5_132485667_132485716_-	chr5	132485667	132485716	ENSG00000125347.13_4	ENSG00000125347	4	6	FALSE	11
chr5_132761800_132761896_-	chr5	132761800	132761896	ENSG00000164402.13_12	ENSG00000164402	12	19	FALSE	11
chr5_132866885_132867035_+	chr5	132866885	132867035	ENSG00000164405.10_2	ENSG00000164405	2	3	FALSE	16
chr5_132927121_132927207_-	chr5	132927121	132927207	ENSG00000072364.12_6	ENSG00000072364	6	24	FALSE	12
chr5_134004647_134004842_-	chr5	134004647	134004842	ENSG00000213585.10_2	ENSG00000213585	2	12	FALSE	13
chr5_134205922_134206131_-	chr5	134205922	134206131	ENSG00000113575.9_4	ENSG00000113575	4	10	FALSE	13
chr5_134388325_134388413_+	chr5	134388325	134388413	ENSG00000119048.7_6	ENSG00000119048	6	8	FALSE	17
chr5_134845988_134846212_+	chr5	134845988	134846212	ENSG00000181904.8_2	ENSG00000181904	2	4	FALSE	10
chr5_134887695_134888182_+	chr5	134887695	134888182	ENSG00000113621.14_4	ENSG00000113621	4	8	FALSE	11
chr5_138161796_138161864_-	chr5	138161796	138161864	ENSG00000112983.17_22	ENSG00000112983	22	34	FALSE	17
chr5_138431425_138431559_+	chr5	138431425	138431559	ENSG00000120733.13_24	ENSG00000120733	24	25	FALSE	14
chr5_138556774_138556866_-	chr5	138556774	138556866	ENSG00000113013.12_17	ENSG00000113013	17	19	FALSE	16
chr5_138783177_138783374_+	chr5	138783177	138783374	ENSG00000044115.20_12	ENSG00000044115	12	34	FALSE	14
chr5_139456474_139456518_-	chr5	139456474	139456518	ENSG00000249751.3_5	ENSG00000249751	5	10	FALSE	13
chr5_139481159_139481704_-	chr5	139481159	139481704	ENSG00000184584.12_3	ENSG00000184584	3	8	FALSE	12
chr5_140194446_140194652_+	chr5	140194446	140194652	ENSG00000120306.9_2	ENSG00000120306	2	6	FALSE	17
chr5_140551982_140552184_-	chr5	140551982	140552184	ENSG00000213523.10_3	ENSG00000213523	3	6	FALSE	16
chr5_140560313_140560504_-	chr5	140560313	140560504	ENSG00000113108.19_10	ENSG00000113108	10	11	FALSE	11
chr5_140643564_140643675_+	chr5	140643564	140643675	ENSG00000113119.12_8	ENSG00000113119	8	12	FALSE	11
chr5_140683100_140683219_-	chr5	140683100	140683219	ENSG00000170445.12_6	ENSG00000170445	6	16	FALSE	16
chr5_141529603_141529697_-	chr5	141529603	141529697	ENSG00000131504.15_24	ENSG00000131504	24	34	FALSE	11
chr5_141625685_141625764_-	chr5	141625685	141625764	ENSG00000171720.9_12	ENSG00000171720	12	14	FALSE	16
chr5_141937198_141937357_+	chr5	141937198	141937357	ENSG00000081791.8_12	ENSG00000081791	12	13	FALSE	16
chr5_141980123_141980351_+	chr5	141980123	141980351	ENSG00000013561.17_8	ENSG00000013561	8	11	FALSE	11
chr5_142144571_142144676_+	chr5	142144571	142144676	ENSG00000131507.10_8	ENSG00000131507	8	9	FALSE	16
chr5_146131019_146131109_-	chr5	146131019	146131109	ENSG00000133706.17_26	ENSG00000133706	26	34	FALSE	14
chr5_146503824_146504202_+	chr5	146503824	146504202	ENSG00000113649.11_21	ENSG00000113649	21	29	FALSE	11
chr5_150037400_150037527_+	chr5	150037400	150037527	ENSG00000113716.12_13	ENSG00000113716	13	20	FALSE	17
chr5_150137008_150137053_-	chr5	150137008	150137053	ENSG00000113721.13_4	ENSG00000113721	4	26	FALSE	10
chr5_150405085_150405180_-	chr5	150405085	150405180	ENSG00000019582.14_6	ENSG00000019582	6	9	FALSE	11
chr5_150447585_150447735_-	chr5	150447585	150447735	ENSG00000164587.11_3	ENSG00000164587	3	7	FALSE	12
chr5_150548218_150548388_+	chr5	150548218	150548388	ENSG00000070614.14_18	ENSG00000070614	18	23	FALSE	13
chr5_151025340_151025493_+	chr5	151025340	151025493	ENSG00000211445.11_4	ENSG00000211445	4	8	FALSE	12
chr5_151060318_151060395_-	chr5	151060318	151060395	ENSG00000145901.14_10	ENSG00000145901	10	24	FALSE	13
chr5_151119300_151119390_-	chr5	151119300	151119390	ENSG00000197043.13_22	ENSG00000197043	22	31	FALSE	13
chr5_154011241_154011320_-	chr5	154011241	154011320	ENSG00000055147.18_11	ENSG00000055147	11	17	FALSE	11
chr5_154793800_154794000_+	chr5	154793800	154794000	ENSG00000155506.16_11	ENSG00000155506	11	25	FALSE	13
chr5_154830801_154830922_-	chr5	154830801	154830922	ENSG00000170271.10_8	ENSG00000170271	8	13	FALSE	10
chr5_154870661_154870822_+	chr5	154870661	154870822	ENSG00000155508.13_9	ENSG00000155508	9	12	FALSE	15
chr5_157794898_157794972_-	chr5	157794898	157794972	ENSG00000113282.13_9	ENSG00000113282	9	13	FALSE	10
chr5_171390051_171390130_+	chr5	171390051	171390130	ENSG00000181163.13_3	ENSG00000181163	3	13	FALSE	17
chr5_172769575_172769794_-	chr5	172769575	172769794	ENSG00000120129.5_3	ENSG00000120129	3	4	FALSE	12
chr5_172909667_172909761_+	chr5	172909667	172909761	ENSG00000113719.15_7	ENSG00000113719	7	17	FALSE	16
chr5_173020238_173020557_+	chr5	173020238	173020557	ENSG00000113732.8_3	ENSG00000113732	3	4	FALSE	17
chr5_175959527_175960132_-	chr5	175959527	175960132	ENSG00000051596.9_9	ENSG00000051596	9	11	FALSE	10
chr5_176352622_176352748_-	chr5	176352622	176352748	ENSG00000122203.14_8	ENSG00000122203	8	13	FALSE	15
chr5_176388235_176388294_-	chr5	176388235	176388294	ENSG00000048162.20_3	ENSG00000048162	3	6	FALSE	16
chr5_176651754_176651900_+	chr5	176651754	176651900	ENSG00000048140.17_3	ENSG00000048140	3	7	FALSE	13
chr5_177044389_177044533_+	chr5	177044389	177044533	ENSG00000113761.11_5	ENSG00000113761	5	9	FALSE	11
chr5_177489771_177490099_-	chr5	177489771	177490099	ENSG00000196923.13_10	ENSG00000196923	10	16	FALSE	12
chr5_177536358_177536745_-	chr5	177536358	177536745	ENSG00000146067.15_6	ENSG00000146067	6	15	FALSE	11
chr5_178222852_178222934_-	chr5	178222852	178222934	ENSG00000175309.14_13	ENSG00000175309	13	19	FALSE	15
chr5_178608376_178608458_-	chr5	178608376	178608458	ENSG00000113240.12_11	ENSG00000113240	11	15	FALSE	16
chr5_179580947_179581012_+	chr5	179580947	179581012	ENSG00000176783.14_8	ENSG00000176783	8	24	FALSE	14
chr5_179617989_179618060_-	chr5	179617989	179618060	ENSG00000169045.17_10	ENSG00000169045	10	17	FALSE	15
chr5_179708978_179709059_+	chr5	179708978	179709059	ENSG00000127022.14_11	ENSG00000127022	11	21	FALSE	13
chr5_179800484_179800597_-	chr5	179800484	179800597	ENSG00000161013.16_9	ENSG00000161013	9	18	FALSE	14
chr5_179825146_179825226_+	chr5	179825146	179825226	ENSG00000161011.19_13	ENSG00000161011	13	16	FALSE	15
chr5_179875920_179876037_-	chr5	179875920	179876037	ENSG00000197226.12_13	ENSG00000197226	13	25	FALSE	13
chr5_179963471_179963564_-	chr5	179963471	179963564	ENSG00000113269.13_8	ENSG00000113269	8	11	FALSE	13
chr5_181239067_181239177_-	chr5	181239067	181239177	ENSG00000204628.11_11	ENSG00000204628	11	13	FALSE	17
chr6_2770120_2770361_+	chr6	2770120	2770361	ENSG00000124535.15_3	ENSG00000124535	3	7	FALSE	16
chr6_2959168_2961327_-	chr6	2959168	2961327	ENSG00000124570.17_7	ENSG00000124570	7	12	FALSE	13
chr6_3010025_3010189_+	chr6	3010025	3010189	ENSG00000124588.19_10	ENSG00000124588	10	15	FALSE	15
chr6_3083085_3083313_+	chr6	3083085	3083313	ENSG00000137275.13_5	ENSG00000137275	5	11	FALSE	13
chr6_3263684_3268050_+	chr6	3263684	3268050	ENSG00000180822.11_7	ENSG00000180822	7	10	FALSE	10
chr6_4119186_4119275_-	chr6	4119186	4119275	ENSG00000198721.12_7	ENSG00000198721	7	9	FALSE	17
chr6_5404542_5404701_+	chr6	5404542	5404701	ENSG00000145982.11_4	ENSG00000145982	4	9	FALSE	10
chr6_7295056_7295485_-	chr6	7295056	7295485	ENSG00000124783.12_8	ENSG00000124783	8	11	FALSE	13
chr6_8079395_8080030_-	chr6	8079395	8080030	ENSG00000124802.11_6	ENSG00000124802	6	8	FALSE	12
