gene	n_exons
ENSG00000197969	79
ENSG00000197971	22
ENSG00000197976	10
ENSG00000197977	8
ENSG00000197978	9
ENSG00000197980	20
ENSG00000197982	4
ENSG00000197984	1
ENSG00000197989	7
ENSG00000197990	3
ENSG00000197992	7
ENSG00000197993	20
ENSG00000198000	20
ENSG00000198001	15
ENSG00000198003	15
ENSG00000198010	29
ENSG00000198015	10
ENSG00000198018	14
ENSG00000198019	5
ENSG00000198021	2
ENSG00000198022	15
ENSG00000198026	26
ENSG00000198028	10
ENSG00000198033	5
ENSG00000198034	7
ENSG00000198039	16
ENSG00000198040	8
ENSG00000198042	12
ENSG00000198046	10
ENSG00000198049	3
ENSG00000198053	10
ENSG00000198054	7
ENSG00000198055	21
ENSG00000198056	14
ENSG00000198060	8
ENSG00000198062	11
ENSG00000198064	12
ENSG00000198074	11
ENSG00000198075	7
ENSG00000198077	9
ENSG00000198081	7
ENSG00000198083	1
ENSG00000198087	18
ENSG00000198088	10
ENSG00000198089	38
ENSG00000198090	1
ENSG00000198092	10
ENSG00000198093	7
ENSG00000198099	12
ENSG00000198104	1
ENSG00000198105	6
ENSG00000198108	4
ENSG00000198113	2
ENSG00000198121	9
ENSG00000198125	9
ENSG00000198128	1
ENSG00000198129	2
ENSG00000198130	22
ENSG00000198131	15
ENSG00000198133	13
ENSG00000198134	1
ENSG00000198142	1
ENSG00000198146	4
ENSG00000198153	1
ENSG00000198155	4
ENSG00000198156	8
ENSG00000198157	9
ENSG00000198160	18
ENSG00000198162	14
ENSG00000198168	7
ENSG00000198169	6
ENSG00000198171	8
ENSG00000198173	1
ENSG00000198176	15
ENSG00000198178	8
ENSG00000198182	7
ENSG00000198183	9
ENSG00000198185	6
ENSG00000198189	11
ENSG00000198198	83
ENSG00000198203	9
ENSG00000198205	1
ENSG00000198208	11
ENSG00000198216	50
ENSG00000198217	1
ENSG00000198218	14
ENSG00000198221	4
ENSG00000198223	38
ENSG00000198225	1
ENSG00000198231	22
ENSG00000198237	5
ENSG00000198242	8
ENSG00000198246	6
ENSG00000198251	4
ENSG00000198252	12
ENSG00000198258	5
ENSG00000198261	1
ENSG00000198265	35
ENSG00000198270	14
ENSG00000198271	1
ENSG00000198276	17
ENSG00000198277	4
ENSG00000198283	1
ENSG00000198284	8
ENSG00000198286	26
ENSG00000198298	5
ENSG00000198300	4
ENSG00000198301	23
ENSG00000198312	6
ENSG00000198315	8
ENSG00000198324	5
ENSG00000198326	2
ENSG00000198331	6
ENSG00000198336	9
ENSG00000198342	7
ENSG00000198346	6
ENSG00000198353	5
ENSG00000198354	1
ENSG00000198355	6
ENSG00000198356	8
ENSG00000198358	5
ENSG00000198363	37
ENSG00000198367	1
ENSG00000198369	12
ENSG00000198373	35
ENSG00000198380	21
ENSG00000198382	23
ENSG00000198384	14
ENSG00000198390	1
ENSG00000198393	7
ENSG00000198398	5
ENSG00000198399	47
ENSG00000198400	20
ENSG00000198406	1
ENSG00000198408	16
ENSG00000198414	1
ENSG00000198416	4
ENSG00000198417	4
ENSG00000198420	12
ENSG00000198429	5
ENSG00000198431	26
ENSG00000198435	1
ENSG00000198440	7
ENSG00000198443	1
ENSG00000198445	1
ENSG00000198452	1
ENSG00000198453	15
ENSG00000198454	4
ENSG00000198455	1
ENSG00000198464	7
ENSG00000198466	4
ENSG00000198467	11
ENSG00000198468	4
ENSG00000198471	3
ENSG00000198478	4
ENSG00000198482	9
ENSG00000198483	14
ENSG00000198488	3
ENSG00000198491	6
ENSG00000198492	7
ENSG00000198496	10
ENSG00000198498	7
ENSG00000198502	6
ENSG00000198513	18
ENSG00000198515	13
ENSG00000198517	5
ENSG00000198520	16
ENSG00000198521	14
ENSG00000198522	16
ENSG00000198523	2
ENSG00000198526	1
ENSG00000198535	2
ENSG00000198538	6
ENSG00000198542	10
ENSG00000198546	5
ENSG00000198547	6
ENSG00000198551	10
ENSG00000198553	2
ENSG00000198554	25
ENSG00000198555	15
ENSG00000198556	11
ENSG00000198561	23
ENSG00000198563	17
ENSG00000198569	13
ENSG00000198570	4
ENSG00000198573	2
ENSG00000198574	4
ENSG00000198576	3
ENSG00000198580	4
ENSG00000198585	3
ENSG00000198586	31
ENSG00000198589	63
ENSG00000198590	7
ENSG00000198597	11
ENSG00000198598	11
ENSG00000198601	1
ENSG00000198604	28
ENSG00000198610	11
ENSG00000198612	10
ENSG00000198618	1
ENSG00000198624	11
ENSG00000198625	13
ENSG00000198626	109
ENSG00000198633	6
ENSG00000198642	1
ENSG00000198643	11
ENSG00000198646	22
ENSG00000198648	20
ENSG00000198650	13
ENSG00000198658	2
ENSG00000198663	13
ENSG00000198668	10
ENSG00000198670	39
ENSG00000198671	3
ENSG00000198673	24
ENSG00000198674	1
ENSG00000198677	45
ENSG00000198678	2
ENSG00000198680	1
ENSG00000198681	3
ENSG00000198682	16
ENSG00000198685	3
ENSG00000198689	22
ENSG00000198690	16
ENSG00000198691	53
ENSG00000198692	6
ENSG00000198695	1
ENSG00000198700	25
ENSG00000198703	1
ENSG00000198704	8
ENSG00000198707	54
ENSG00000198711	1
ENSG00000198712	1
ENSG00000198715	10
ENSG00000198718	23
ENSG00000198719	12
ENSG00000198720	16
ENSG00000198721	9
ENSG00000198722	47
ENSG00000198723	11
ENSG00000198727	1
ENSG00000198728	12
ENSG00000198729	4
ENSG00000198730	25
ENSG00000198732	15
ENSG00000198734	25
ENSG00000198736	4
ENSG00000198738	1
ENSG00000198739	6
ENSG00000198740	8
ENSG00000198742	20
ENSG00000198743	3
ENSG00000198744	1
ENSG00000198746	8
ENSG00000198752	39
ENSG00000198753	33
ENSG00000198754	1
ENSG00000198755	3
ENSG00000198756	13
ENSG00000198758	18
ENSG00000198759	13
ENSG00000198763	1
ENSG00000198765	35
ENSG00000198768	6
ENSG00000198771	13
ENSG00000198774	2
ENSG00000198780	14
ENSG00000198783	1
ENSG00000198785	11
ENSG00000198786	1
ENSG00000198787	1
ENSG00000198788	49
ENSG00000198791	11
ENSG00000198792	14
ENSG00000198793	59
ENSG00000198794	13
ENSG00000198795	18
ENSG00000198796	17
ENSG00000198797	8
ENSG00000198798	5
ENSG00000198799	20
ENSG00000198804	1
ENSG00000198805	10
ENSG00000198807	8
ENSG00000198812	1
ENSG00000198814	26
ENSG00000198815	16
ENSG00000198816	5
ENSG00000198818	8
ENSG00000198821	7
ENSG00000198822	8
ENSG00000198824	4
ENSG00000198825	22
ENSG00000198826	13
ENSG00000198829	3
ENSG00000198830	3
ENSG00000198832	7
ENSG00000198833	8
ENSG00000198835	2
ENSG00000198836	35
ENSG00000198837	29
ENSG00000198838	124
ENSG00000198839	13
ENSG00000198840	1
ENSG00000198841	1
ENSG00000198842	7
ENSG00000198843	9
ENSG00000198844	16
ENSG00000198846	9
ENSG00000198848	16
ENSG00000198851	9
ENSG00000198853	13
ENSG00000198854	1
ENSG00000198855	5
ENSG00000198856	6
ENSG00000198857	3
ENSG00000198858	9
ENSG00000198860	7
ENSG00000198862	33
ENSG00000198863	5
ENSG00000198865	10
ENSG00000198868	2
ENSG00000198870	20
ENSG00000198873	16
ENSG00000198874	17
ENSG00000198876	11
ENSG00000198879	24
ENSG00000198881	3
ENSG00000198883	4
ENSG00000198885	3
ENSG00000198886	1
ENSG00000198887	26
ENSG00000198888	1
ENSG00000198889	2
ENSG00000198890	1
ENSG00000198892	4
ENSG00000198894	7
ENSG00000198898	14
ENSG00000198899	1
ENSG00000198900	21
ENSG00000198901	18
ENSG00000198908	6
ENSG00000198909	19
ENSG00000198910	33
ENSG00000198911	25
ENSG00000198912	5
ENSG00000198914	1
ENSG00000198915	17
ENSG00000198917	14
ENSG00000198918	3
ENSG00000198919	35
ENSG00000198920	22
ENSG00000198923	1
ENSG00000198924	11
ENSG00000198925	18
ENSG00000198929	12
ENSG00000198930	4
ENSG00000198931	5
ENSG00000198932	6
ENSG00000198933	11
ENSG00000198934	1
ENSG00000198937	4
ENSG00000198938	1
ENSG00000198939	7
ENSG00000198944	1
ENSG00000198945	26
ENSG00000198947	94
ENSG00000198948	12
ENSG00000198951	9
ENSG00000198952	22
ENSG00000198954	16
ENSG00000198959	14
ENSG00000198960	3
ENSG00000198961	12
ENSG00000198963	11
ENSG00000198964	16
ENSG00000198965	1
ENSG00000198967	1
ENSG00000198973	1
ENSG00000198974	1
ENSG00000198975	1
ENSG00000198976	1
ENSG00000198982	1
ENSG00000198983	1
ENSG00000198984	1
ENSG00000198987	1
ENSG00000198995	1
ENSG00000198997	1
ENSG00000199001	1
ENSG00000199005	1
ENSG00000199012	1
ENSG00000199015	1
ENSG00000199017	1
ENSG00000199020	1
ENSG00000199023	1
ENSG00000199024	2
ENSG00000199025	1
ENSG00000199030	1
ENSG00000199032	1
ENSG00000199035	2
ENSG00000199036	1
ENSG00000199038	1
ENSG00000199047	1
ENSG00000199051	1
ENSG00000199053	1
ENSG00000199059	1
ENSG00000199065	2
ENSG00000199069	1
ENSG00000199072	1
ENSG00000199075	1
ENSG00000199077	1
ENSG00000199080	1
ENSG00000199082	1
ENSG00000199085	1
ENSG00000199088	1
ENSG00000199090	1
ENSG00000199092	1
ENSG00000199094	1
ENSG00000199102	1
ENSG00000199104	1
ENSG00000199107	1
ENSG00000199109	1
ENSG00000199121	1
ENSG00000199122	1
ENSG00000199127	1
ENSG00000199130	1
ENSG00000199132	1
ENSG00000199133	1
ENSG00000199135	1
ENSG00000199143	1
ENSG00000199145	1
ENSG00000199150	1
ENSG00000199151	1
ENSG00000199153	1
ENSG00000199156	1
ENSG00000199157	1
ENSG00000199158	1
ENSG00000199161	1
ENSG00000199165	1
ENSG00000199168	1
ENSG00000199169	1
ENSG00000199172	1
ENSG00000199177	1
ENSG00000199179	1
ENSG00000199196	1
ENSG00000199197	1
ENSG00000199200	1
ENSG00000199201	1
ENSG00000199202	1
ENSG00000199203	1
ENSG00000199204	1
ENSG00000199212	1
ENSG00000199217	1
ENSG00000199218	1
ENSG00000199219	1
ENSG00000199220	1
ENSG00000199222	1
ENSG00000199223	1
ENSG00000199224	1
ENSG00000199226	1
ENSG00000199231	1
ENSG00000199237	1
ENSG00000199240	1
ENSG00000199241	1
ENSG00000199245	1
ENSG00000199246	1
ENSG00000199248	1
ENSG00000199251	1
ENSG00000199260	1
ENSG00000199263	1
ENSG00000199266	1
ENSG00000199270	1
ENSG00000199272	1
ENSG00000199276	1
ENSG00000199279	1
ENSG00000199282	1
ENSG00000199283	1
ENSG00000199285	1
ENSG00000199286	1
ENSG00000199289	1
ENSG00000199290	1
ENSG00000199291	1
ENSG00000199293	1
ENSG00000199295	1
ENSG00000199299	1
ENSG00000199301	1
ENSG00000199303	1
ENSG00000199306	1
ENSG00000199308	1
ENSG00000199311	1
ENSG00000199313	1
ENSG00000199315	1
ENSG00000199318	1
ENSG00000199319	1
ENSG00000199321	1
ENSG00000199322	1
ENSG00000199325	1
ENSG00000199326	1
ENSG00000199327	1
ENSG00000199331	1
ENSG00000199332	1
ENSG00000199334	1
ENSG00000199335	1
ENSG00000199337	1
ENSG00000199347	1
ENSG00000199348	1
ENSG00000199349	1
ENSG00000199350	1
ENSG00000199352	1
ENSG00000199354	1
ENSG00000199357	1
ENSG00000199360	1
ENSG00000199361	1
ENSG00000199362	1
ENSG00000199363	1
ENSG00000199364	1
ENSG00000199366	1
ENSG00000199368	1
ENSG00000199370	1
ENSG00000199373	1
ENSG00000199377	1
ENSG00000199378	1
ENSG00000199381	1
ENSG00000199385	1
ENSG00000199390	1
ENSG00000199392	1
ENSG00000199394	1
ENSG00000199395	1
ENSG00000199396	1
ENSG00000199398	1
ENSG00000199400	1
ENSG00000199402	1
ENSG00000199404	1
ENSG00000199405	1
ENSG00000199407	1
ENSG00000199409	1
ENSG00000199410	1
ENSG00000199411	1
ENSG00000199415	1
ENSG00000199420	1
ENSG00000199422	1
ENSG00000199424	1
ENSG00000199426	1
ENSG00000199436	1
ENSG00000199440	1
ENSG00000199442	1
ENSG00000199444	1
ENSG00000199446	1
ENSG00000199448	1
ENSG00000199450	1
ENSG00000199453	1
ENSG00000199454	1
ENSG00000199455	1
ENSG00000199458	1
ENSG00000199459	1
ENSG00000199460	1
ENSG00000199461	1
ENSG00000199466	1
ENSG00000199468	1
ENSG00000199469	1
ENSG00000199470	1
ENSG00000199471	1
ENSG00000199472	1
ENSG00000199473	1
ENSG00000199474	1
ENSG00000199475	1
ENSG00000199476	1
ENSG00000199477	1
ENSG00000199480	1
ENSG00000199482	1
ENSG00000199483	1
ENSG00000199487	1
ENSG00000199488	1
ENSG00000199489	1
ENSG00000199490	1
ENSG00000199492	1
ENSG00000199497	1
ENSG00000199506	1
ENSG00000199508	1
ENSG00000199509	1
ENSG00000199512	1
ENSG00000199514	1
ENSG00000199515	1
ENSG00000199516	1
ENSG00000199520	1
ENSG00000199523	1
ENSG00000199525	1
ENSG00000199529	1
ENSG00000199530	1
ENSG00000199535	1
ENSG00000199536	1
ENSG00000199540	1
ENSG00000199545	1
ENSG00000199550	1
ENSG00000199551	1
ENSG00000199552	1
ENSG00000199556	1
ENSG00000199562	1
ENSG00000199564	1
ENSG00000199565	1
ENSG00000199566	1
ENSG00000199567	1
ENSG00000199568	1
ENSG00000199570	1
ENSG00000199571	1
ENSG00000199572	1
ENSG00000199575	1
ENSG00000199577	1
ENSG00000199580	1
ENSG00000199584	1
ENSG00000199585	1
ENSG00000199591	1
ENSG00000199592	1
ENSG00000199593	1
ENSG00000199594	1
ENSG00000199595	1
ENSG00000199598	1
ENSG00000199601	1
ENSG00000199603	1
ENSG00000199605	1
ENSG00000199609	1
ENSG00000199620	1
ENSG00000199622	1
ENSG00000199626	1
ENSG00000199627	1
ENSG00000199629	1
ENSG00000199630	1
ENSG00000199631	1
ENSG00000199633	1
ENSG00000199634	1
ENSG00000199635	1
ENSG00000199636	1
ENSG00000199638	1
ENSG00000199640	1
ENSG00000199643	1
ENSG00000199646	1
ENSG00000199652	1
ENSG00000199664	1
ENSG00000199666	1
ENSG00000199667	1
ENSG00000199668	1
ENSG00000199672	1
ENSG00000199673	1
ENSG00000199674	1
ENSG00000199676	1
ENSG00000199677	1
ENSG00000199683	1
ENSG00000199687	1
ENSG00000199691	1
ENSG00000199695	1
ENSG00000199697	1
ENSG00000199698	1
ENSG00000199700	1
ENSG00000199701	1
ENSG00000199702	1
ENSG00000199704	1
ENSG00000199705	1
ENSG00000199709	1
ENSG00000199710	1
ENSG00000199711	1
ENSG00000199712	1
ENSG00000199713	1
ENSG00000199715	1
ENSG00000199716	1
ENSG00000199719	1
ENSG00000199728	1
ENSG00000199730	1
ENSG00000199731	1
ENSG00000199732	1
ENSG00000199733	1
ENSG00000199735	1
ENSG00000199739	1
ENSG00000199740	1
ENSG00000199751	1
ENSG00000199753	1
ENSG00000199755	1
ENSG00000199756	1
ENSG00000199762	1
ENSG00000199764	1
ENSG00000199765	1
ENSG00000199767	1
ENSG00000199771	1
ENSG00000199773	1
ENSG00000199780	1
ENSG00000199781	1
ENSG00000199782	1
ENSG00000199783	1
ENSG00000199784	1
ENSG00000199785	1
ENSG00000199786	1
ENSG00000199787	1
ENSG00000199788	1
ENSG00000199790	1
ENSG00000199791	1
ENSG00000199792	1
ENSG00000199796	1
ENSG00000199797	1
ENSG00000199798	1
ENSG00000199801	1
ENSG00000199803	1
ENSG00000199804	1
ENSG00000199805	1
ENSG00000199806	1
ENSG00000199809	1
ENSG00000199812	1
ENSG00000199814	1
ENSG00000199824	1
ENSG00000199827	1
ENSG00000199831	1
ENSG00000199832	1
ENSG00000199833	1
ENSG00000199836	1
ENSG00000199837	1
ENSG00000199839	1
ENSG00000199840	1
ENSG00000199843	1
ENSG00000199845	1
ENSG00000199846	1
ENSG00000199849	1
ENSG00000199851	1
ENSG00000199855	1
ENSG00000199856	1
ENSG00000199857	1
ENSG00000199858	1
ENSG00000199859	1
ENSG00000199862	1
ENSG00000199865	1
ENSG00000199866	1
ENSG00000199867	1
ENSG00000199870	1
ENSG00000199872	1
ENSG00000199874	1
ENSG00000199875	1
ENSG00000199878	1
ENSG00000199879	1
ENSG00000199880	1
ENSG00000199881	1
ENSG00000199883	1
ENSG00000199884	1
ENSG00000199885	1
ENSG00000199886	1
ENSG00000199890	1
ENSG00000199892	1
ENSG00000199894	1
ENSG00000199895	1
ENSG00000199899	1
ENSG00000199900	1
ENSG00000199901	1
ENSG00000199903	1
ENSG00000199905	1
ENSG00000199906	1
ENSG00000199910	1
ENSG00000199911	1
ENSG00000199912	1
ENSG00000199913	1
ENSG00000199914	1
ENSG00000199920	1
ENSG00000199921	1
ENSG00000199924	1
ENSG00000199929	1
ENSG00000199932	1
ENSG00000199933	1
ENSG00000199934	1
ENSG00000199936	1
ENSG00000199938	1
ENSG00000199940	1
ENSG00000199942	1
ENSG00000199944	1
ENSG00000199949	1
ENSG00000199953	1
ENSG00000199959	1
ENSG00000199960	1
ENSG00000199961	1
ENSG00000199962	1
ENSG00000199963	1
ENSG00000199964	1
ENSG00000199968	1
ENSG00000199970	1
ENSG00000199971	1
ENSG00000199975	1
ENSG00000199977	1
ENSG00000199979	1
ENSG00000199985	1
ENSG00000199986	1
ENSG00000199990	1
ENSG00000199994	1
ENSG00000200003	1
ENSG00000200008	1
ENSG00000200011	1
ENSG00000200013	1
ENSG00000200021	1
ENSG00000200024	1
ENSG00000200026	1
ENSG00000200028	1
ENSG00000200029	1
ENSG00000200033	1
ENSG00000200034	1
ENSG00000200036	1
ENSG00000200040	1
ENSG00000200041	1
ENSG00000200047	1
ENSG00000200048	1
ENSG00000200049	1
ENSG00000200051	1
ENSG00000200052	1
ENSG00000200057	1
ENSG00000200058	1
ENSG00000200059	1
ENSG00000200060	1
ENSG00000200062	1
ENSG00000200063	1
ENSG00000200064	1
ENSG00000200065	1
ENSG00000200070	1
ENSG00000200072	1
ENSG00000200075	1
ENSG00000200079	1
ENSG00000200084	1
ENSG00000200085	1
ENSG00000200086	1
ENSG00000200087	1
ENSG00000200089	1
ENSG00000200090	1
ENSG00000200091	1
ENSG00000200095	1
ENSG00000200097	1
ENSG00000200101	1
ENSG00000200102	1
ENSG00000200105	1
ENSG00000200106	1
ENSG00000200107	1
ENSG00000200108	1
ENSG00000200112	1
ENSG00000200113	1
ENSG00000200114	1
ENSG00000200118	1
ENSG00000200120	1
ENSG00000200131	1
ENSG00000200132	1
ENSG00000200135	1
ENSG00000200138	1
ENSG00000200139	1
ENSG00000200142	1
ENSG00000200146	1
ENSG00000200150	1
ENSG00000200151	1
ENSG00000200152	1
ENSG00000200153	1
ENSG00000200156	1
ENSG00000200161	1
ENSG00000200162	1
ENSG00000200163	1
ENSG00000200164	1
ENSG00000200168	1
ENSG00000200169	1
ENSG00000200170	1
ENSG00000200171	1
ENSG00000200175	1
ENSG00000200176	1
ENSG00000200179	1
ENSG00000200183	1
ENSG00000200184	1
ENSG00000200189	1
ENSG00000200191	1
ENSG00000200197	1
ENSG00000200198	1
ENSG00000200201	1
ENSG00000200204	1
ENSG00000200206	1
ENSG00000200208	1
ENSG00000200209	1
ENSG00000200211	1
ENSG00000200213	1
ENSG00000200215	1
ENSG00000200216	1
ENSG00000200217	1
ENSG00000200218	1
ENSG00000200220	1
ENSG00000200222	1
ENSG00000200224	1
ENSG00000200225	1
ENSG00000200227	1
ENSG00000200231	1
ENSG00000200235	1
ENSG00000200237	1
ENSG00000200238	1
ENSG00000200241	1
ENSG00000200243	1
ENSG00000200246	1
ENSG00000200247	1
ENSG00000200248	1
ENSG00000200250	1
ENSG00000200252	1
ENSG00000200253	1
ENSG00000200254	1
ENSG00000200256	1
ENSG00000200257	1
ENSG00000200259	1
ENSG00000200261	1
ENSG00000200262	1
ENSG00000200267	1
ENSG00000200269	1
ENSG00000200275	1
ENSG00000200279	1
ENSG00000200281	1
ENSG00000200283	1
ENSG00000200287	1
ENSG00000200288	1
ENSG00000200291	1
ENSG00000200293	1
ENSG00000200294	1
ENSG00000200295	1
ENSG00000200296	1
ENSG00000200298	1
ENSG00000200301	1
ENSG00000200303	1
ENSG00000200304	1
ENSG00000200309	1
ENSG00000200310	1
ENSG00000200312	1
ENSG00000200313	1
ENSG00000200314	1
ENSG00000200318	1
ENSG00000200320	1
ENSG00000200325	1
ENSG00000200326	1
ENSG00000200327	1
ENSG00000200331	1
ENSG00000200332	1
ENSG00000200334	1
ENSG00000200336	1
ENSG00000200338	1
ENSG00000200340	1
ENSG00000200343	1
ENSG00000200344	1
ENSG00000200345	1
ENSG00000200350	1
ENSG00000200351	1
ENSG00000200354	1
ENSG00000200355	1
ENSG00000200356	1
ENSG00000200360	1
ENSG00000200361	1
ENSG00000200366	1
ENSG00000200367	1
ENSG00000200369	1
ENSG00000200370	1
ENSG00000200372	1
ENSG00000200376	1
ENSG00000200377	1
ENSG00000200378	1
ENSG00000200379	1
ENSG00000200381	1
ENSG00000200385	1
ENSG00000200388	1
ENSG00000200389	1
ENSG00000200390	1
ENSG00000200391	1
ENSG00000200393	1
ENSG00000200394	1
ENSG00000200397	1
ENSG00000200398	1
ENSG00000200403	1
ENSG00000200406	1
ENSG00000200407	1
ENSG00000200408	1
ENSG00000200411	1
ENSG00000200418	1
ENSG00000200419	1
ENSG00000200421	1
ENSG00000200422	1
ENSG00000200424	1
ENSG00000200427	1
ENSG00000200428	1
ENSG00000200431	1
ENSG00000200432	1
ENSG00000200434	1
ENSG00000200436	1
ENSG00000200437	1
ENSG00000200443	1
ENSG00000200444	1
ENSG00000200446	1
ENSG00000200448	1
ENSG00000200455	1
ENSG00000200456	1
ENSG00000200462	1
ENSG00000200468	1
ENSG00000200471	1
ENSG00000200472	1
ENSG00000200473	1
ENSG00000200475	1
ENSG00000200478	1
ENSG00000200480	1
ENSG00000200483	1
ENSG00000200484	1
ENSG00000200485	1
ENSG00000200486	1
ENSG00000200487	1
ENSG00000200488	1
ENSG00000200492	1
ENSG00000200494	1
ENSG00000200495	1
ENSG00000200496	1
ENSG00000200502	1
ENSG00000200503	1
ENSG00000200506	1
ENSG00000200508	1
ENSG00000200516	1
ENSG00000200520	1
ENSG00000200521	1
ENSG00000200522	1
ENSG00000200525	1
ENSG00000200526	1
ENSG00000200527	1
ENSG00000200528	1
ENSG00000200530	1
ENSG00000200534	1
ENSG00000200536	1
ENSG00000200537	1
ENSG00000200538	1
ENSG00000200544	1
ENSG00000200545	1
ENSG00000200547	1
ENSG00000200550	1
ENSG00000200552	1
ENSG00000200553	1
ENSG00000200554	1
ENSG00000200555	1
ENSG00000200556	1
ENSG00000200558	1
ENSG00000200560	1
ENSG00000200563	1
ENSG00000200564	1
ENSG00000200566	1
ENSG00000200570	1
ENSG00000200571	1
ENSG00000200572	1
ENSG00000200575	1
ENSG00000200579	1
ENSG00000200587	1
ENSG00000200591	1
ENSG00000200593	1
ENSG00000200594	1
ENSG00000200597	1
ENSG00000200600	1
ENSG00000200601	1
ENSG00000200605	1
ENSG00000200608	1
ENSG00000200610	1
ENSG00000200612	1
ENSG00000200613	1
ENSG00000200615	1
ENSG00000200616	1
ENSG00000200619	1
ENSG00000200620	1
ENSG00000200622	1
ENSG00000200623	1
ENSG00000200624	1
ENSG00000200626	1
ENSG00000200629	1
ENSG00000200630	1
ENSG00000200632	1
ENSG00000200635	1
ENSG00000200636	1
ENSG00000200637	1
ENSG00000200638	1
ENSG00000200645	1
ENSG00000200648	1
ENSG00000200650	1
ENSG00000200651	1
ENSG00000200652	1
ENSG00000200656	1
ENSG00000200661	1
ENSG00000200664	1
ENSG00000200665	1
ENSG00000200670	1
ENSG00000200673	1
ENSG00000200674	1
ENSG00000200677	1
ENSG00000200680	1
ENSG00000200681	1
ENSG00000200683	1
ENSG00000200685	1
ENSG00000200686	1
ENSG00000200687	1
ENSG00000200688	1
ENSG00000200693	1
ENSG00000200701	1
ENSG00000200702	1
ENSG00000200703	1
ENSG00000200706	1
ENSG00000200708	1
ENSG00000200709	1
ENSG00000200711	1
ENSG00000200713	1
ENSG00000200714	1
ENSG00000200718	1
ENSG00000200719	1
ENSG00000200720	1
ENSG00000200726	1
ENSG00000200728	1
ENSG00000200731	1
ENSG00000200732	1
ENSG00000200733	1
ENSG00000200737	1
ENSG00000200738	1
ENSG00000200741	1
ENSG00000200742	1
ENSG00000200745	1
ENSG00000200750	1
ENSG00000200752	1
ENSG00000200753	1
ENSG00000200754	1
ENSG00000200755	1
ENSG00000200756	1
ENSG00000200757	1
ENSG00000200759	1
ENSG00000200761	1
ENSG00000200763	1
ENSG00000200764	1
ENSG00000200769	1
ENSG00000200774	1
ENSG00000200779	1
ENSG00000200783	1
ENSG00000200785	1
ENSG00000200786	1
ENSG00000200788	1
ENSG00000200789	1
ENSG00000200790	1
ENSG00000200792	1
ENSG00000200794	1
ENSG00000200795	1
ENSG00000200796	1
ENSG00000200799	1
ENSG00000200800	1
ENSG00000200801	1
ENSG00000200806	1
ENSG00000200807	1
ENSG00000200812	1
ENSG00000200814	1
ENSG00000200815	1
ENSG00000200816	1
ENSG00000200817	1
ENSG00000200818	1
ENSG00000200822	1
ENSG00000200823	1
ENSG00000200827	1
ENSG00000200829	1
ENSG00000200830	1
ENSG00000200832	1
ENSG00000200834	1
ENSG00000200839	1
ENSG00000200840	1
ENSG00000200842	1
ENSG00000200847	1
ENSG00000200849	1
ENSG00000200852	1
ENSG00000200855	1
ENSG00000200857	1
ENSG00000200860	1
ENSG00000200867	1
ENSG00000200869	1
ENSG00000200871	1
ENSG00000200872	1
ENSG00000200873	1
ENSG00000200874	1
ENSG00000200875	1
ENSG00000200877	1
ENSG00000200879	1
ENSG00000200882	1
ENSG00000200883	1
ENSG00000200884	1
ENSG00000200885	1
ENSG00000200887	1
ENSG00000200888	1
ENSG00000200889	1
ENSG00000200890	1
ENSG00000200891	1
ENSG00000200893	1
ENSG00000200895	1
ENSG00000200897	1
ENSG00000200898	1
ENSG00000200902	1
ENSG00000200903	1
ENSG00000200906	1
ENSG00000200913	1
ENSG00000200914	1
ENSG00000200917	1
ENSG00000200922	1
ENSG00000200924	1
ENSG00000200926	1
ENSG00000200935	1
ENSG00000200941	1
ENSG00000200942	1
ENSG00000200949	1
ENSG00000200953	1
ENSG00000200957	1
ENSG00000200959	1
ENSG00000200963	1
ENSG00000200966	1
ENSG00000200969	1
ENSG00000200972	1
ENSG00000200974	1
ENSG00000200975	1
ENSG00000200976	1
ENSG00000200982	1
ENSG00000200983	1
ENSG00000200985	1
ENSG00000200986	1
ENSG00000200987	1
ENSG00000200991	1
ENSG00000200997	1
ENSG00000200998	1
ENSG00000200999	1
ENSG00000201000	1
ENSG00000201001	1
ENSG00000201003	1
ENSG00000201006	1
ENSG00000201009	1
ENSG00000201010	1
ENSG00000201012	1
ENSG00000201013	1
ENSG00000201014	1
ENSG00000201015	1
ENSG00000201016	1
ENSG00000201021	1
ENSG00000201023	1
ENSG00000201025	1
ENSG00000201026	1
ENSG00000201027	1
ENSG00000201028	1
ENSG00000201031	1
ENSG00000201032	1
ENSG00000201033	1
ENSG00000201034	1
ENSG00000201035	1
ENSG00000201036	1
ENSG00000201041	1
ENSG00000201042	1
ENSG00000201044	1
ENSG00000201047	1
ENSG00000201048	1
ENSG00000201050	1
ENSG00000201059	1
ENSG00000201065	1
ENSG00000201066	1
ENSG00000201070	1
ENSG00000201071	1
ENSG00000201074	1
ENSG00000201075	1
ENSG00000201076	1
ENSG00000201077	1
ENSG00000201078	1
ENSG00000201084	1
ENSG00000201085	1
ENSG00000201086	1
ENSG00000201088	1
ENSG00000201095	1
ENSG00000201096	2
ENSG00000201097	1
ENSG00000201098	1
ENSG00000201102	1
ENSG00000201104	1
ENSG00000201109	1
ENSG00000201113	1
ENSG00000201114	1
ENSG00000201118	1
ENSG00000201119	1
ENSG00000201121	1
ENSG00000201129	1
ENSG00000201133	1
ENSG00000201134	1
